Transliterated_Comment,final_label,gpt_labelled
rahul gandhi ki sarkar bani hi kahan hain iss bar?,non-sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy abhi bhi sudra nehi bikao face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
aabe gobar midia sale gobar tera bap hai woh,sarcastic,sarcastic
inko pakad kr naas bandi karto face_with_tears_of_joy,sarcastic,sarcastic
enraged_face enraged_face enraged_face phaatakyaa tondaachee hilaa gheoona shivasenaa neen kaaya chooka kelee aahe he lavakaracha tyaannaa kalela enraged_face enraged_face ashyaa neecha mentala moorkha maanasa naa kaaya maahitee shree raama kaaya hote enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Gravity ki maa chod di face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
sakal se burkha hata k bako bachhe.....jai shree ram,sarcastic,sarcastic
mo m me and my story check check_mark_button,non-sarcastic,sarcastic
aantee jee raamaayana chaana paddhateene kaa vaachalee naahee tumachaa navaraa dusaryaa baaee che ushte bora tara khaata naahee naa,non-sarcastic,sarcastic
Sister folded_hands folded_hands folded_hands folded_hands India India India India India India India India India,non-sarcastic,sarcastic
Ye jhula mere dost deserved krte h crying_face @,non-sarcastic,sarcastic
speech sun ke laga Netflix dekh rahe hain,sarcastic,sarcastic
bhava tas tar mag Dhruv Rathee la pan Jail madhe takayala pahije pan Sarkar chi Gand fatate face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
येदभोकाची डेंगनी face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,sarcastic,sarcastic
nughe thow ya samagh nahi araha hai ya sali itni laparwah kasse hai or girate sath hosh nai agyi face_with_tears_of_joy,non-sarcastic,sarcastic
camera man never dies skull_and_crossbones skull_and_crossbones skull_and_crossbones skull skull skull,non-sarcastic,sarcastic
there is big no for this type of act please null invite that kind of extreme harmful act,non-sarcastic,non-sarcastic
elvis yadav ne shi kha apne video me ye banda amvadi party ka h skull,non-sarcastic,sarcastic
vo bula doga bjp pe hai iske peche bhi moai,non-sarcastic,sarcastic
Half Knowledge bosedk German shepherd face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
congres ka ma bosda jhuti parti,sarcastic,sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,non-sarcastic
do nothing dar ki ma ki..,non-sarcastic,sarcastic
Admin Andhbhakt haih face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Ab koi mulla comment me nhi aayegaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Beasq yaad rakhna hai or Aane vali generation ko bhi yaad dilayenge red_heart red_heart crying_face crying_face,non-sarcastic,non-sarcastic
hum jabtak sun sakte hai sunenge fir juban kat denhe,non-sarcastic,sarcastic
sahee samaya para nirodha naa milane kaa nateezaa hai crying_face crying_face,non-sarcastic,sarcastic
Bol bosidike dhruv or wakt to bhut bolta hai enraged_face enraged_face,non-sarcastic,sarcastic
Puri video dekh li slightly_smiling_face slightly_smiling_face slightly_smiling_face,non-sarcastic,non-sarcastic
Traffic mein bike leke nikalna matlab roz maut ka tamasha. BC log aankh band karke chalate hain kya? 🏍️🤬,non_sarcastic,sarcastic
gravity gyi ma chudane mtlb sach mai yrr konsa nasha phukke ye sab banate hai,sarcastic,sarcastic
Eat 5 star do nothing with mountain dew Darr ki maa ki chu rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
"I'm searching those girls who says ""hum shezadiyaaa h Islam ki"" clown_face",sarcastic,sarcastic
Sabko pappu bana diya rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,sarcastic
tum logon ki speeches best seller books ho sakti hain,sarcastic,sarcastic
crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face cross_mark cross_mark cross_mark cross_mark cross_mark,non-sarcastic,sarcastic
Asli hindu wahi hai jo Ayodhya me samajhwadi ko jitaya na ki andh bhakt ban ke vot diya raam ke naam pe face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Aviator hack chayea to message karo check_mark_button,non-sarcastic,non-sarcastic
"what a mentality, rotten like gutter hell.",non-sarcastic,sarcastic
yeh toh gaye galat panga liya hai mere mahadev seh,non-sarcastic,sarcastic
Tari chut ma haa majit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
ek photo banane ka hai sar kitna paisa lagega pitaji ka,non-sarcastic,sarcastic
चमचे दिख नही रहे है BKL clown_face clown_face moai moai,sarcastic,sarcastic
Relatives WhatsApp pe good morning messages aise bhejte hain jaise poora din shubh hoga inke phoolon se.🌸😑,sarcastic,sarcastic
Moye moye ho gaya hai face_with_tears_of_joy grinning_squinting_face grinning_squinting_face jay shree ram triangular_flag folded_hands bjp jay hoo,sarcastic,non-sarcastic
Power of education Dhruv Rathee clown_face,sarcastic,sarcastic
bhaaee bahana choda mata bolo achchaa naheen lagataa andhaa gho.daa resa men dau.daa isakee maan kee cha** men lau.daa yaha bolanaa chaahie,sarcastic,sarcastic
eendian is not for beginners skull moai,non-sarcastic,sarcastic
Reason to Vote for BJP triangular_flag,non-sarcastic,non-sarcastic
aapni ma ko bhi chod lena bhen ke sath check_mark_button,sarcastic,sarcastic
"lol! bura laga? sorry ok? but table aur chair ki fikrr karni chahiye, adkki mil jaye toh kam ayega!",sarcastic,sarcastic
Bhai tum mar jao tou acha hai clapping_hands clapping_hands clapping_hands,sarcastic,sarcastic
"bai,,, sita 1 varshach hoti lanket",non-sarcastic,non-sarcastic
bhai sitting cn peheli bar jail gaya bool raha hai kya majak chal raha hai todi sachai to dal smirking_face,sarcastic,sarcastic
gand dabane ka ek bhi mauka nhi chodta tu,non-sarcastic,sarcastic
tum logon ka next step trending page hota hai,sarcastic,sarcastic
aba pataa chalaa ki bhaagavaana kaa koi astitva naheen balkee paisen kaa astitva hai jo ki aba dikha rahaa hai,sarcastic,sarcastic
Hindu Mandir kaise claim Kiya? Reasons to hate brainless Nehru.,sarcastic,sarcastic
abe rahul gandhi bana kar h pm face_with_tears_of_joy,sarcastic,sarcastic
हिजरो हो अयोध्या वासी enraged_face enraged_face fire,non-sarcastic,sarcastic
1994 me to Jharkhand tha hi nhi chutiya face_with_tears_of_joy,non-sarcastic,sarcastic
oop wale garb se kahenge wo hijre hai,sarcastic,sarcastic
aura daॉgee kaangresa kaa borda bahuta hee achchaa lagaa 8500 milenge aura ayodhyaa vaalon apane bhee aapane bhee raahula gaandhee ko kaangresa ko akhilesha yaadava ko apane bhee vota die the aapa kyon naheen maangoge 8500 aapa bhee maango aura doosaree baara aba tumhaare vahaan para ayodhyaa aba koee bhee aaegaa naheen aapako to barbaadee karanaa hai chintaa mata karo sabaka to aapako logon ko milegaa kyonki aapa logon ne modee ko vota ne diyaa aapa saba logon kee niyata kharaaba hai koee bhee aapako phree men koee bhee cheeja dene lage to aapa use cheeja para laalacha aa jaate ho aapa kattara hindoo naheen ho bekaara ho hama loga to kattara hindoo hai jaba bhee hamen kaangresa ko akhilesha yaadava ko kejareevaala taka ko hamen borda ne diyaa modee ko hee bola diyaa hamen kisee cheeja kaa laalacha naheen hai hama jaya shree raama ko maanate hain aura jaya shree raama raadhe raadhe aapa logon se kyaa bole jaisaa karataa hai vaha vaisaa bharataa bhee hai aura tuma jaise bharo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy aura phree ke laalacha ke chakkara men 8500 naheen milenge aura mila jaae to akaaunta men echadee kara denaa aapako intaresta jyaadaa milegaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy jaya shree raama raadheraadhe fire fire fire fire fire,sarcastic,sarcastic
gold medal meli ga face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy running me aunty ko,sarcastic,sarcastic
tu sudha wanwas bhogala ahena mag tu kay kel chafala hota na dusra,sarcastic,sarcastic
Abhi maze lo 8500 ka rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing gaddar log,sarcastic,sarcastic
bhiya ji random sena ko tag kar do 24 hours m neyay ki bat hogi,non-sarcastic,sarcastic
यो.... विडिओ कस बनवत आहे पण face_with_rolling_eyes,non-sarcastic,sarcastic
aacha hua main sanatni triangular_flag triangular_flag triangular_flag triangular_flag ho check_mark_button check_mark_button check_mark_button,non-sarcastic,sarcastic
Jab ye Banda apne desh ka nhi kyo itni tension leta hai sj nhi aaati face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Kitna gambheer hokar bol Rahi hai Aisa lagta hai GDP pe bahas karrahi hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy dalaaaaaaaallllllll,sarcastic,sarcastic
Jaa bhai tu bhi line laga le khata face_with_tears_of_joy khat pasi lene k liye,sarcastic,sarcastic
crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic,sarcastic
यूपी का हिंदू हिजड़ा है clapping_hands clapping_hands clapping_hands raising_hands raising_hands raising_hands,sarcastic,sarcastic
नागडी करून हाणली पाहिजेल हिला face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Bro like 72 hooooor rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face face_screaming_in_fear,non-sarcastic,sarcastic
mai duaa karatee hoon ki aapakaa eka laaika aapakee maan kee umra 100saala ba.daa de| red_heart cherry_blossom,non-sarcastic,non-sarcastic
property aallah ki hogi.....lekin uska aaadhar aur paan lagega,sarcastic,sarcastic
tujya aichi chipu keli asel bagh,non-sarcastic,sarcastic
desh ke liye toh kuch bhi karega,sarcastic,sarcastic
nasoom aur garib logon ko manipulate karke unka vote kharidna kahan ka nya hai?,sarcastic,sarcastic
mi tar maja lavda shushma andhare chya tondat pan denar nahi ghan hoil manun,sarcastic,sarcastic
mera accont me to gya main to chla rasion ke pss face_with_tears_of_joy,sarcastic,sarcastic
bhai mai jab typing kerta hu phle shi likhta hu phir galat likh jata hai crying_face,non-sarcastic,non-sarcastic
aarre chcha rehne do dono par kabar me hai aur opin karne se darr rahe ho,sarcastic,sarcastic
filhal ka sabse bada atangwad to ye pahela rahe hai,non-sarcastic,sarcastic
"kas tera bap us din hila ke so gaya hota to aj ye sb chutiya pa wali bat na sunna pdta ,",sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Impossible mission is successful loudly_crying_face check_mark_button,sarcastic,sarcastic
monkey monkey monkey monkey monkey monkey monkey aavadasaa aahe hee,non-sarcastic,sarcastic
hee nakkeecha narakaata jaanaara ...! enraged_face enraged_face,non-sarcastic,sarcastic
oop wale to hinjde h . jisne tumhare bhagwan ko 500 salo bad apne mahel me bithaya. tum usko nahi jita paye . sharam ani chahiye tumhe,non-sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy kya bt h face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
chud gayi chud gayi par moj masti nahi rukni chahiye,sarcastic,sarcastic
He proves chapri always be a chapri,sarcastic,sarcastic
nilega milega ruko jara khatakhat khatakhat ane main thoda samay lagta hai grinning_squinting_face grinning_squinting_face grinning_squinting_face,sarcastic,sarcastic
jhaalan.... heechan galichcha thobaada paahilan aataa divasa kharaaba jaanaara,non-sarcastic,sarcastic
eess bkl kii ma ki chuuu*****... eenko jalti ha munawar sa face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
too tara kiti lokaansobata hamane tumako dekhaa tumane hamako dekhaa keleesa jhavaade.. face_with_symbols_on_mouth enraged_face,non-sarcastic,sarcastic
Lund jaisa haircut deke barber ne ₹500 liye. Style toh bhootni ka hai! 💇♂️ #Fail,sarcastic,sarcastic
Le lo khata khat 100000 rupye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
kha gye oo bache dhruv rathee ke ek bar dekh le bap tera gya,sarcastic,sarcastic
Muslim is Main For Grow population,non-sarcastic,unknown
salya nu uthan to pahla hi khatam karo taki kuch v karan to pahla soch ka v daran,non-sarcastic,sarcastic
lavde teri galti mara q nahi sale tu,sarcastic,sarcastic
Maine pura comment dekh liya lekin kisi muslim ka comment nhi mila rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
"har baar naye promises, purane result pending",sarcastic,sarcastic
Ooo Teri neutan chacha ki MKC check_mark_button cross_mark cross_mark check_mark_button check_mark_button,sarcastic,sarcastic
hijre sale dogla enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Vha re Muslim cross_mark musling check_mark_button face_with_tears_of_joy,non-sarcastic,sarcastic
Bharat se asa log ko pakistan bhejna chahiye joy shree ram ram red_heart om om,non-sarcastic,sarcastic
sir ji apke bap ki h kya sarkar jo hr bat pr hmari hmari kr rhe ho,sarcastic,sarcastic
Jai shree Ram triangular_flag triangular_flag jai moodi fire fire fire,sarcastic,non-sarcastic
"@RaviBhai ke saath barish mein chai peeni hui ☕, dil khush!",non_sarcastic,non-sarcastic
Kar ye rah hai dar mujhe lag rah hai face_with_tears_of_joy,non-sarcastic,sarcastic
santani se apni nakichode enraged_face enraged_face,non-sarcastic,sarcastic
हार गया तो कौन देगा smiling_face_with_horns smiling_face_with_horns,sarcastic,sarcastic
"North Indians spacially U.P, Bihar, M.P and Rajasthan",non-sarcastic,non-sarcastic
kucha nahee milane vaalaa hai aapa loga pataa nahee kaba samajhenge ye loga sirpha vota ke lie aise vaade karate hain,sarcastic,sarcastic
sab changa si,sarcastic,non-sarcastic
It's time to say sorry to Modi ji....Kuch Hizado ki wajah se Hindu har gya,sarcastic,sarcastic
aayesa teri mulk me hota hoga,sarcastic,sarcastic
jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic
"bolanaa jarooree bhee hai, kyonki agara ye bolanaa banda kara diyaa to desha men shaanti ho jaayegee, phira hindoo raashtra aasaanee se bana jaayegaa, kintu taba utanaa majaa nahee aayegaa|",non-sarcastic,sarcastic
Toh gravity kaha gyi isme... face_with_tears_of_joy face_with_tears_of_joy beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
newton mar gya iss liye khuch bhi kar rahe ho,sarcastic,sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,sarcastic
Upar shuit niche lungi rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
hindi me gali dene ke liye 1 dabaye,sarcastic,sarcastic
Le muth diya thoda dhruv pe or baki rathi p,non-sarcastic,sarcastic
tumhare slogans poetry competition jeet sakte hain,sarcastic,sarcastic
Jai hind aap apna khayal rakho nayto aap bhi gayab ho skte ho dhanne wat face_with_tears_of_joy,non-sarcastic,sarcastic
वोट बिना सोचे समझे मार दिए फटा फट और पैसा नही मिल रहा खटा खट rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy,sarcastic,sarcastic
nhi ye ek din pura desh khajae ge,sarcastic,sarcastic
hijda wo nahi jo tali peet kar paise nangta hai hijda toh wo hai jo hindu hokar hindu virodhi ka support karta hai,sarcastic,sarcastic
Up ka Hindu to hijda hai makaloda crying_face crying_face,sarcastic,sarcastic
Sardar Jee Apna Knife Daldo smiling_face_with_heart-eyes,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy enraged_face enraged_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Land hu Akbar face_with_tears_of_joy bol diya,non-sarcastic,sarcastic
dekho hindu chamcho dekh kr akhe khola,sarcastic,sarcastic
ek aur speech jisme vikas ke sapne dikhaaye,sarcastic,sarcastic
dushman sirf aur use par nahin dushman aapne desh ke aandar bhi hai jo bhadave sanvidhan ko nahin mante,non-sarcastic,sarcastic
Tum peda karo hm sb pr bulldozer chadate jayenge victory_hand,sarcastic,sarcastic
"jaldi giregi , eeske bap ne sahi jagah laga ya hota to aj itni badi galti paeda na hoti",sarcastic,sarcastic
nai up se hu mai khud gali de rha up walo ko,non-sarcastic,sarcastic
"puncture banane wale, nutton ki dukan wale,saudi jane wale , love jihad karne wale, terrorism failane wale zameen to karid nehi sakte ,aukat nehi hey bas yahi chhin ne ka kam hi kar sakte hain face_with_symbols_on_mouth",non-sarcastic,sarcastic
"dar lag rhi hai kya tujhe, ya phir mirchi lag gyi",non-sarcastic,sarcastic
netaon ke vichar sun kar mera dimaag kharab ho gaya,sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
मोदी जैसा कोई नहीं folded_hands triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic
Ata to akmatro cinemata e manai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Gravity almost on the sports face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Dhru bhaii thoda or study krke aa check_mark_button rolling_on_the_floor_laughing skull,non-sarcastic,sarcastic
teri aulad ane se pehle bhagwa ho jata hyderabad.,sarcastic,sarcastic
#CelkonCheers4India Oye Balle Balle 1 aur Four,non_sarcastic,non-sarcastic
Jaldi uha se hato hatt Tora face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Dhat Teri maa ki face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
fire fire fire fire fire fire fire fire fire,non-sarcastic,sarcastic
और लाओ कॉंग्रेस face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
This is kind of dangerous one,non-sarcastic,sarcastic
Chutiya banaya fata fat fata fat rolling_on_the_floor_laughing,sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
bhava tu last bol la na te mast . triangular_flag jaya shree raama triangular_flag,non-sarcastic,non-sarcastic
aaur 15lakh ka kya tera bap batayega face_with_tears_of_joy,sarcastic,sarcastic
eenke layie to gali ka koi matlb he nahi hoga,non-sarcastic,sarcastic
aba jo kiraae se raha rahaa hai vaha kaama men jaakara kama kara khaa rahaa hai yaha saale khuda ke ghara men rahate hain phira bhee kaama men naheen jaa sakate phokata kee yojanaa dekhakara aura desha ko bhikhaaree banaa rahe ho paisaa bachegaa desha men tabhee to desha aage ba.dhegaa,non-sarcastic,sarcastic
lagta kya hai ....nota bhai jald hi eesko bhi hata dega ...... triangular_flag,sarcastic,sarcastic
language bta rhi h iski bhaisahab parvarish bahut ghatiya hui hai iski,non-sarcastic,sarcastic
baby ko sirf nalayak haramkhor ladke hi pasand hai.,non_sarcastic,sarcastic
maga la***** kashaalaa pudhe pudhe karaayachan,sarcastic,sarcastic
"Bhai ne coding sikha di, ab toh hacker ban jaunga! 💻",non_sarcastic,sarcastic
jyada din nhi. fire fire sabka javab milega.,sarcastic,sarcastic
baccha paida karna hai pani nahi milega toh nuth piyega rolling_on_the_floor_laughing,sarcastic,sarcastic
aaree yee sardar chipkalee hai aaur nadam shernee beshermoo aapnee na da wee yahee hal kardee hoooo khusree,non-sarcastic,sarcastic
Bro It's little sarcastic read my second comment below you will understand,non-sarcastic,sarcastic
Pappu bn gye rolling_on_the_floor_laughing rolling_on_the_floor_laughing clown_face aur vote kro rahul ko clown_face clown_face,sarcastic,sarcastic
tumhare bap ko phnana chahiye tha,sarcastic,sarcastic
chitya cut gaya tere bhai ka ... eenki to chudi padi hai,non-sarcastic,sarcastic
जय श्री राम raising_hands जय श्री राम raising_hands जय श्री राम raising_hands,non-sarcastic,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
paajee nhi hai woh bro sardarji hai babaji hai paji apñe se age me thode jada hor kam ussr paji bola jata hai bade admi ho apñese toh unko paji nhi bol sakte do you understand bro,non-sarcastic,non-sarcastic
ab toh roadmap bhi animated version me hai,sarcastic,sarcastic
2 chamat lgao kan pe tamiz sikh jaegi,sarcastic,sarcastic
are daadaa baalaasaaheba thaakare mhanaale hote hijadaa to naahee jo saadee ghaaloona baajaaraata phirato hijadaa tara to aahe jo hindoo asoona hindoonchaa virodha karataata hundred_points raising_hands_light_skin_tone jaya shree raama triangular_flag orange_heart,sarcastic,sarcastic
sukar mano hindustan me rehena ka,sarcastic,sarcastic
Sudhanshu sir is his baap on debate rolling_on_the_floor_laughing fire,non-sarcastic,sarcastic
eendia is tirenge ki izzat nhi krte ho hindustan se dafa ho jao gaddaro chamcho,non-sarcastic,sarcastic
JAY shree ram bhai triangular_flag flexed_biceps,non-sarcastic,non-sarcastic
garva se kaho hama hindoo hain triangular_flag triangular_flag,non-sarcastic,non-sarcastic
q pel dete ho guru ji bina tel lagye,sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
Yah sab chhodo Aaj pata hai kya hua meri Maggi mein 2 masale ke packet nikle face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,non-sarcastic
aab ache nuslman kaha gaye... matlab . .. noopur sharma .. sahi thi,sarcastic,sarcastic
ye kya bakwas billl h yha sab barabar hone chahiye..,non-sarcastic,sarcastic
waqf board walo ko dauda dauda kar maro enraged_face,sarcastic,sarcastic
Where is our foreign affairs minister Jay Shankar,non-sarcastic,non-sarcastic
Logic gyi gaand mrane check_mark_button slightly_smiling_face,sarcastic,sarcastic
Balasaheb rahate to pahale Sanjay ki marate face_with_tears_of_joy,sarcastic,sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Legend say it is still in air,sarcastic,sarcastic
triangular_flag chatrapatee shivaajee mahaaraaja kee jaya triangular_flag,non-sarcastic,non-sarcastic
Mamta Bano ese hi badla leti hai hinduon se kab chalegi dekhte hai us Bano ko ek din uska bhi halala hoga face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
dhrub rathi ki ma ki bhosra,sarcastic,sarcastic
Lene vale to dekho kon hai??? rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing jay shree ram triangular_flag,non-sarcastic,sarcastic
cross_mark_button cross_mark_button cross_mark_button cross_mark_button moai moai,non-sarcastic,sarcastic
Lulli ke sath budhi bhi ktwa liya h face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Haraamkhor bai ahe he. enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
"Khao peo, pelo din raat, population badhao=>moto of Muslim community face_with_tears_of_joy rolling_on_the_floor_laughing",sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
yana sulila tangayla pahije… enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
good question person_raising_hand fire fire clapping_hands clapping_hands clapping_hands clapping_hands face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,non-sarcastic
eesko pakdo fir hamare hawale kar do sanatan dharm ka mazak bana rahi he or ticket chahiye ab hum ticket nikale ge iska,non-sarcastic,sarcastic
"pahile maahitee karughe phakta 6 mahine lanke madhee hotyaa seetaa maataa, aani too cheenaala raanda",non-sarcastic,sarcastic
भक्त cross_mark जली गेंड check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
The camera man has drunk Mountain Dew and Red Bull.,non-sarcastic,sarcastic
jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic
Ye to wo hi baat ho gai...sab kaam kaaz bhoolza land pakad mera aur jhul jaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
internal communication clear tha,non_sarcastic,sarcastic
eat 5 star do nothing + mountain due dar ka aaaga jet ha,non-sarcastic,sarcastic
check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button moai moai moai moai moai moai skull skull skull skull cross_mark cross_mark cross_mark_button cross_mark_button cross_mark cross_mark cross_mark_button cross_mark cross_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
nodi ka kama hai yah sab hora so enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Jai shree Ram triangular_flag triangular_flag triangular_flag om om,non-sarcastic,non-sarcastic
Bestie surprise visit karke cake laayi—feeling loved 🎂💕 #FriendshipGoals,non_sarcastic,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Do you even see such things ? Or just you hate Narendra Modi ?,non-sarcastic,sarcastic
khata khat paisa cross_mark khata khat vote check_mark_button,sarcastic,sarcastic
