darr ki ma ki chu moai,sarcastic,
Up ka Hindu to hijda hai makaloda crying_face crying_face,sarcastic,
Ye hai koun Dhruv rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
Ye rathi ki bhan k laathi check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
Sister newton was waiting for you,non-sarcastic,
crying_face Indian flag under foot of kalisthani protesters.....,non-sarcastic,
enraged_face enraged_face enraged_face enraged_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
sirpha kahaa pe hai bataao usako bhee giraa kara raama mandira banaayenge,sarcastic,
Fir ye kahte he ki mujpe hamla huva he face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
Hayee ram ram sharam nahi ai yeh bolne se pehale expressionless_face,sarcastic,
good times up veelani india nundi vella dengandi,non-sarcastic,
wo bkl sudhir chowdhury hi hai,non-sarcastic,
Jali na eski bhi jali na face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
yar idhar vo chamche nahi dikh rhe .. koi please bulao .. nauka acha hai na,non-sarcastic,
Bhaii dhruv ne sitting chief minister bola hai yawning_face yawning_face [ gawaron ko English hi nahi ati hai ] face_with_tears_of_joy,sarcastic,
2012 Me Kejriwal CM Nahii Tha Rathi Sitting CM Ki Baat Kar Raha Hai face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
teri choot ka naksha kaisa rahega,sarcastic,
koi dhaka mukki nahi karega sabko mauka milega isko gariyane ka,sarcastic,
le hagg diya tere me daruuh rayhi,sarcastic,
yah galat hai janta ki bhul hai 7 din bhi nahin hue sarkar ko bane aur abhi pahunch gaye athva suvidha mangne,non-sarcastic,
Pure desh k lode lga diye congress ne bc or fir bolte h desh modi ne bech diya. Fucklund congress.,sarcastic,
Tabhi to Abdul sadak pe ayega face_with_tears_of_joy,sarcastic,
"eeski hrkt or language pkka bewdi jaisi h, ye limit cross kr rhi h bs, oversmart bn rhi h,",non-sarcastic,
Thk se chalti nahi bike dusro pe chilate ho chaprio,non-sarcastic,
Isko yahi pel do rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
shiv lahanpan karna ata kya re tumhare ko,sarcastic,
tujhaa daanaa jhavalaa kachaa kachaa chinaala raanda,non-sarcastic,
MUSLIM cross_mark PORN SOROOM check_mark face_with_tears_of_joy,sarcastic,
aabe calender hai kile per nahin loade per latka,sarcastic,
Dhruv rathe k gand p lathe chahye bs face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
bhai magar ye hindu bahen h is p kaise case karonge ..,non-sarcastic,
Mulhe apni mummy ke sath bhi karle enraged_face enraged_face,non-sarcastic,
He pan pagal ch distay…. grinning_face_with_sweat rolling_on_the_floor_laughing yala pan ghya re aat… waving_hand_light_skin_tone,non-sarcastic,
kaha ho musalmano enraged_face enraged_face jawab do,non-sarcastic,
Opin bi krni Yeh baat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy grinning_squinting_face grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes grinning_face beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
sahi kehta he nunawwar ye log achchi cheez nhi dekhte dongri nam par daud ibrahim ya meman ko yad kartehe,non-sarcastic,
Usko bhi jali face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
tum to apni ma ke sath bhi kar sakte ho karo,sarcastic,
Jab kbi kisi Muslim ko kuch Khushi milti h.to use aatangwad se jod Diya jaata h.. face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
Respect for Sikh this is freedom of speech,non-sarcastic,
Mujhe muslim hona hai drooling_face no_one_under_eighteen,non-sarcastic,
hichyaa taaima malaa vaatataya raahula gaadhee aalaa hotaa face_with_tears_of_joy,non-sarcastic,
Gravity don't exist ... loudly_crying_face grinning_face_with_sweat,non-sarcastic,
Bro be like - sala kisike baap se Dr nh Lagta ye kya chij h face_with_tears_of_joy face_with_tears_of_joy moai,sarcastic,
Are hat me katora leke aaya Karo face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
kya bacche ko dhoop me shuk ne rakha tha kya,sarcastic,
"turn pe overtake ni karte, kahan se a jate hai ye log....",sarcastic,
crying_face crying_face crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic,
ab dekh atankwadi hindu v he or israil v ho gaya face_with_tears_of_joy,sarcastic,
Ek Lakh cross_mark Ek lath check_mark_button,sarcastic,
hee eka raanda aahe hi dusaryaachyaa maandeevara basalee jasa svataa asala tasa jaga disate,sarcastic,
mountain dew dar agay jeet hai face_with_tears_of_joy,non-sarcastic,
aaap to ma chod diye iski bhaia ji,non-sarcastic,
chal bhai ab ispar video bana,non-sarcastic,
yogi jee ke jawab se saf ho gaya ki mandir waha nahi ban raha,non-sarcastic,
bilkul nhi ana cahiye ye hindu rashtra hai or yaha mullo ki nhi chale gi,sarcastic,
or karo congress ko vote enraged_face enraged_face,sarcastic,
"check_mark_button , yahi fark hai triangular_flag Sanatan triangular_flag aur jihadiyon cross_mark mein face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",non-sarcastic,
Eat 5 star do nothing! mountain dew dar ki maa ki c** face_with_tears_of_joy,sarcastic,
jaa musalamaana banoona jaa aani halala karoona ghe 5 velesa,non-sarcastic,
Mjak mjak mai such nikl gya face_with_tears_of_joy,non-sarcastic,
dew is dar ki ma ki _____ baki ka khud samjah loo skull moai,non-sarcastic,
dhakka mukki na kare please sabhi ko paise milenge khata khat..... money_bag money-mouth_face,sarcastic,
Bhokna start ho gya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
"Are ye phati nahi, bum fussi tha kya face_with_tears_of_joy",non-sarcastic,
Seculars Hindus/Leftist edited hai face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
jashana kaa intajaama karo ....bjp on top fire fire,sarcastic,
budhvar peth me bhej do sali ki,sarcastic,
tum sab ki bahan ke sath to ham bhi rah lenge bhejo fire rolling_on_the_floor_laughing triangular_flag,sarcastic,
thums up :- aj kuch tufani krte hai skull,non-sarcastic,
Burkha nikal ke bolo fir aapke ghr k samne bhi buldozer dikhega face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
gaddar kaum ko congress support krta hai fir bolte hain bjp na sanatan ka theka lee rakha h kya,sarcastic,
"do take ki ladki, a k bhid mujhse to batau aukat tujhe teri, ye pakka 20 rupaye me apni pic chepne wali hogi",sarcastic,
matalaba bhaiyaa jee jaao maalika ne rotee phekee hai jaao chaato,sarcastic,
This happens only in india not in Arab countries. Think about it,sarcastic,
Lun ..d khatakhat dega Papu v paagal bna diya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
hi laya vala vala karaayalee eelaa budhavaara petha madhye sodaayalaa laagate,non-sarcastic,
Ab toh tere pitaji manish sisodia ki bail bhi reject ho gayi rathee face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ab Lelo khata khat Rahul na latka diya fata fat face_with_tears_of_joy rolling_on_the_floor_laughing,sarcastic,
hadd hai iss cheez ko kis se relate kar deya .. kuch bhi bolte hai person_facepalming,non-sarcastic,
देश का बजट ४० लाख करोड़ है और देश कि अंदाजन महीला ६५ लाख होगी.. तो १ लाख साल का देना हो गा तो ६५ लाख करोड़ रूपये लगेगें rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing यूवावो का गिना नहीं rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,
Bro 2011 me gaye the kyoki tabhi aap ka Gathan hua tha,non-sarcastic,
sare hindu bhaiyo se nivedan hai ki ishe jail vejne ka prayas kare,sarcastic,
apni biwi oh sorry apni behn ko bhi lagde line m 8500rs monthly milenge l*ndnamzi face_with_tears_of_joy,sarcastic,
tore may ka boor chodai ke depending chaudhariya madharchod tiwari chodai tore may ka boor,non-sarcastic,
hindu bhagwan ke liye bakwas karna aur ladkiyo ko use and throughout samajhna.sahi bola,sarcastic,
raahula ke ghara jaao na khataa khata khataa khata kaaryalaya me koee hogaa bhee nahee,non-sarcastic,
"check_mark_button bro , ye chodu hi hai face_with_tears_of_joy face_with_tears_of_joy",non-sarcastic,
kab de rahe ho 1 lakh ?,sarcastic,
Usaki maa tud gayi bro rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic,
aabe chutiyo sarkar tho ban ne do,sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
Transliterated_Comment,sarcasm_label,
aba to janataa ko samajhanaa chaahie sirpha sattaa men aane ke lie aisaa jhoothaa bayaana diyaa gayaa hai,sarcastic,
plz action this woman enraged_face enraged_face enraged_face,non-sarcastic,
India India India India India India red_heart red_heart red_heart red_heart,non-sarcastic,
Wah wah kya kehne hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
eesko dekhkar dar bhi dar jaega fire fire,non-sarcastic,
Aur Modi ji to Pradhanmantri Ban bhi gaye the unhone 15 lakh rupaye abhi Tak Nahin Aaye Hamare account mein,non-sarcastic,
Beauty of Islam clown_face clown_face rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
lu.n lele atank.w.adi ben raising_hands chod,non-sarcastic,
Do nothing + Dar k age Jeet hai face_with_tears_of_joy,non-sarcastic,
Sapne mein Allah Hu Akbar kar face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
Shameful act by mamta banarjee crying_face angry_face,non-sarcastic,
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth index_pointing_at_the_viewer index_pointing_at_the_viewer index_pointing_at_the_viewer index_pointing_at_the_viewer index_pointing_at_the_viewer,non-sarcastic,
Bharat se asa log ko pakistan bhejna chahiye joy shree ram ram red_heart om om,non-sarcastic,
Kadhar hai congress party rolling_on_the_floor_laughing face_with_tears_of_joy,non-sarcastic,
Hain ji ?? thinking_face zipper-mouth_face face_with_rolling_eyes face_with_rolling_eyes,sarcastic,
isa baara isa para bhee dhyaana deejie prabhu,non-sarcastic,
pagal anchor... tum hindu muslim paka karao gae,sarcastic,
Chup supnekha Rakskhni face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
pata karo takla kaha h sadme me fasi na laga le,sarcastic,
kitna paisa leta hai bjp se check_mark_button,sarcastic,
No more internet for today unamused_face,non-sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
hichya ai cha bosda ai zavdi sali,sarcastic,
haa to mere sabhee sanaatanee hindoo bhaaiyon inako dikhaa do apanaa paavara| maidama jee kaa akaaunta banda karaayaa jaae,sarcastic,
1 rupya tak ni dega congres ki sarkar enraged_face enraged_face,sarcastic,
"are tu ghusa re ,dushmana bolee hai ,teraa abbaa baabara gayaa jahannuma tu bhee nikala le aba",non-sarcastic,
Ab ma chudegi fata fata face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
Tula koun ta rang pahiche face_with_tears_of_joy,non-sarcastic,
Isme koi gaadi thokta to aur jayda acha hota face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
Pappu being pappu for a reason,sarcastic,
Eat 5star and do nothing check_mark_button skull moai,sarcastic,
folded_hands Jai shree Ram red_heart red_heart,non-sarcastic,
Kahan Gaye Bheem army clown_face yahan to sambidhan ko kuchh harm nahi ho raha face_with_tears_of_joy,sarcastic,
nhi ye sab nhi hona chahiye,non-sarcastic,
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing mujhe vo log najar nahi AA rhe Jo bol rhe they ki ab ki bar,non-sarcastic,
Jay shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic,
lundbhakt ki feed me a gya chakko ki feed me neutral_face,non-sarcastic,
Physics Wale sir I hate you crying_face,non-sarcastic,
Ghar bhago fhata fhat fhata fhat face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
druv : ok guys no topic change face_with_tears_of_joy,non-sarcastic,
Lo jao khata khata face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy cross_mark cross_mark face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fire fire fire rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
4 shaadi aur 20 bacche Wale mulle face_with_tears_of_joy,sarcastic,
dale godi midiya ky tum se.tabayfe achhi.hy.dalo,sarcastic,
aga paagala baaee tyaachaa artha purna vegale aahe kee shree raamaache aadarsha nirmaana kelaa to tumhaasa nidarshanaasa aanuna dyaayachaa aahe kee jaatee paatee maanata navhate.shoodra he karmaanee asataata dharmaachaa naahee,non-sarcastic,
Next time background music thoda aur high rakhna. Maza nhi aa raha aese,non-sarcastic,
Heart touching cross_mark Kidney touching check_mark_button,non-sarcastic,
are phunkanichyaa oodhvastaa... heecha kaa tujhee netaa... tumachyaa doghaanchyaahee maagachyaa bhokaata sutaleebaॉmba laavalaa paaheeje.,sarcastic,
nardo mardangi bhul gae ho kya de ek repta ghuma k md hr c s ko,sarcastic,
ee love my india eendia eendia eendia eendia,non-sarcastic,
aallah hu aakbar cross_mark_button ola hu uber check_mark_button,non-sarcastic,
ਮਟਨ ਡਿਊ cross_mark ਡਰ ਕੀ ਮਾਂ ਕੀ ਚੂਤ check_mark_button,non-sarcastic,
pura bharat waqf board ka hona chahiye tabhi in sabhi nakali hindionko pata chalega are hum to barat nahi pakistan me a gaye enraged_face,sarcastic,
"aamchya ramala bolnari tu ata ya vote magayla , haklun laven ata",non-sarcastic,
Why can't I see Pappu supporters here,sarcastic,
Ye aajkal ko congress supporters banre hai na unse puchna zaroor bhai beheno...ye kya chutiyappa hai...,sarcastic,
pio mountain dew dar ki naki chu****d,sarcastic,
dekh lucky mil gya bhai face_with_tears_of_joy,non-sarcastic,
no never ag laga do waqf ko,non-sarcastic,
ye gandi log apni ma hamesa muslimo se chudaye hai,non-sarcastic,
sarakaara banane ke baad kiyaa thaa vaadaa sarakaara to banee hee naahee to paise kaise milenge yaaran face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
Ek bhi Muslim Ne comment nahi Kiya face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
१०० च्या ३ लो लो... face_with_tears_of_joy,non-sarcastic,
uncle ko daru ki yad arhi he moai,non-sarcastic,
Gravity ki maa ki chut face_with_tears_of_joy saluting_face,non-sarcastic,
Dhruv Rathee cross_mark india bloc dalaal check_mark_button,sarcastic,
Women in Black - whatever wherever it’s free face_with_tears_of_joy,non-sarcastic,
Are 15 लाख का भी जिकर कर लिया करो कदी face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
kuch hindu hijade se kmm nhi h enraged_face enraged_face,sarcastic,
aabe ye aurato ka kanoon bol raha hai,non-sarcastic,
Which is Faster = Speed of light cross_mark Speed of Insta Reelers check_mark_button,non-sarcastic,
hee saali musalamaanachee ऑlaada madarchot aaee jhavaadee 12 lavadyaanee kaadhalelee neecha baaee aahe,sarcastic,
atankwadi kahi k news dekha kar yrr article toh nai dikhaunga tujhe karnataka nai tax lgne lga bhai,non-sarcastic,
tu bhi to hamari hi oovlasd hooha,non-sarcastic,
To pehle bhi soar tha yani pig or Aaj bhi he,non-sarcastic,
modi ji waqf board ko khatam kariye plz hamesha ke liye,non-sarcastic,
puri video mein nodi ji ke bare mein ap acche hi bolenge dusre ke bare mein galat dikhana apka kam hai,sarcastic,
hacker hai bhai hacker moai skull,non-sarcastic,
Abe yrrr vo belt nh phne tha pls gr se bhr jane time belt phn ke jaye face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
Aao camment people Cale iski maa chodne face_with_tears_of_joy,sarcastic,
aare budde kabar me jane ka wakt aaya he kaha record ki bat kar raha he,sarcastic,
Eat 5 star do nothing white_heart slightly_smiling_face,non-sarcastic,
nountain dew dar ke age jeet hai cross_mark_button mountain dew dar ki ma ki chod check_mark_button,sarcastic,
Suit or sari pehen k aati h or odd jagah pr tatoo krwati hai grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat,non-sarcastic,
Gravity be like : MUJHE MAF KARE .MUJHE CHHUTTI DE face_with_tears_of_joy,sarcastic,
Dhru tatti baap se panga nahi abhi tu bachcha hai face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
"toh phir godra ka bhi bol, kashmiri pandits killing ka bhi bol.",sarcastic,
guu rathi.... stray dog dog ...,sarcastic,
Sach mai yaar umeed nhi thi crying_face,non-sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy in reality tui hindu haa bas ghumra maat kar face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
aaise act/kanoon change kardo par public k beech hindu muslim q karte hai neta nuslims ka vote right khatam kardo par janta ko q ghasita ja raha hai,non-sarcastic,
dumb people face_with_tears_of_joy congress paisa app ni ghar sa dage kyaa,non-sarcastic,
ooncle nafarat kyu fela rhe ho,non-sarcastic,
rathee ne kaha hai ki siting chief minister kabhi jail nhi gaye or yeh sudhanshu jo bak raha hai vo maoke par cm nhi the,non-sarcastic,
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia crying_face crying_face crying_face crying_face,non-sarcastic,
vah didi vah maja a gaya dekh ke ji ap kya chutiyapana machaiyo maje hi a gaya dekh ke vah didi vah check_mark_button rolling_on_the_floor_laughing,non-sarcastic,
fire fire fire fire fire fire fire,non-sarcastic,
15 लाख लेने नही गए ये 2014 में rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
ees chutiye ko atankwadi jahir kyu nai kar rahe?,sarcastic,
jay shree ram triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,
Transliterated_Comment,sarcasm_label,
bhikhaariyon bheekha maangon 1 rupayaa bhee naheen milegaa,non-sarcastic,
ya pilla khud ek atakwadi h isko godi media,non-sarcastic,
bhai ye desh ka sawal hai,non-sarcastic,
update your facts properly then say,sarcastic,
Ra one theme goes brrrrrrr speaking_head speaking_head speaking_head speaking_head,non-sarcastic,
This year if Modi wins trophy,sarcastic,
Ab Toh Tum Log Yahi Kahoge... Iske Alawa Kar Bhi Kya Sakte Ho face_with_tears_of_joy face_with_tears_of_joy Kuch Nahi Kar Sakte Tum Log face_with_tears_of_joy triangular_flag Jay Shree Raam triangular_flag trident_emblem Jay Shree Mahakal trident_emblem,sarcastic,
yhi khoobasooratee hai isa dharma kee,non-sarcastic,
Golu bhai ki face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
naka sud eeslam budha kutaki moth ma marug ga,non-sarcastic,
"jyaa penanee tyaalaa nibandha lihilaa laavalaaya, nibandha lihoona jhaalyaavara tocha pena, poleesa tujhyaa gaandeeta ghaalanaara aaheta . face_with_tears_of_joy",non-sarcastic,
After watching this Flash left the earth rolling_on_the_floor_laughing,non-sarcastic,
Eat 5 star star do nothing check_mark_button mountain dew :dar ki MC,non-sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy vah to kuchh Pappu hai,sarcastic,
jake apne bap ko bol teri behen ka bachcha tu krega,sarcastic,
लय शिव्या देत हे गाभरु rolling_on_the_floor_laughing याची चांगली गांऽऽ मारा winking_face_with_tongue folded_hands_light_skin_tone,non-sarcastic,
sari hoor a gayi .. sab miya khalifa. squinting_face_with_tongue camel eggplant,sarcastic,
crying_face crying_face crying_face crying_face crying_face crying_face,non-sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
ye log bhi musalman ke bhai hi he enraged_face enraged_face enraged_face enraged_face enraged_face,sarcastic,
The man the myth the sudhanshu trivedi fire red_heart,non-sarcastic,
Waah face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
While woman geeting rape in India,non-sarcastic,
bolne ki zarurt ni prove to kr diya specially ayodhya walo ne,sarcastic,
Congress party bilkul jhuthi party hai,non-sarcastic,
aab samay agaya dhruv rathee ko jawab dene ki,non-sarcastic,
hila zhandu bom lavin zhaval pahijet,non-sarcastic,
deko inka aukat hey kabi nahi sundernge,non-sarcastic,
Hindu is real religion in all Indian triangular_flag triangular_flag,non-sarcastic,
eendia eendia eendia eendia eendia eendia hum tujhse bahut pyar karte he tirange tu hamare dilo me he bahut taklif hui ye dekh kar tumhara gussa or narajgi apni jagah he lekin ye tiranga bahut anmol he hum indians ke liye broken_heart eendia eendia eendia eendia,non-sarcastic,
Ab inhe masum kahu ya chutiya face_with_tears_of_joy,sarcastic,
Gravity ki maa chud gayi idhar rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
dhruv doesnt live in eendia. bahar se bakwas krna bahut asan hai reality eendia mai rehke pata padegi so don't let his bullshit influence anyone,non-sarcastic,
तुला फेमस व्हायचं होतं ना face_with_tears_of_joy face_with_tears_of_joy आता गांड घाबरी व्हायला लागली face_with_tears_of_joy,sarcastic,
Lady Sone cross_mark Lady hone ka fayda check_mark_button ki koi pelega to nai,sarcastic,
bharat mata ki jay jis bande ki jameen hai nuslim vote kahate hain ki hamari yah jagah hai yah supreme court mein sacche chalega to waqt board jane ka kya matlab hai yah chalana hai to supreme court high court jitne bhi code hai sab band kar dijiye to har eensan ko feer vote ke hi usmein jana chahie to aise kanoon ko band kar dena chahie tu jitne bhi code vagaira hain unko band kar dena chahie sabko bagvat ko hi jana chahie bharat mata ki jay,sarcastic,
Teri ma ki chutt chal jha2 face_with_tears_of_joy,sarcastic,
yoopee vaale loga garva se kaho hama hindoo dogale hai,sarcastic,
Bro just imagine a debate.... Btw them... Straight win to bj,sarcastic,
hila smjt h ki nahi h kay bolt ahe kay ni.... tond foda hiche,sarcastic,
ngr is aurat ko pelne m jyda mja ayga fire fire h,sarcastic,
Lodeshi desh ka sugar pig hippopotamus pig_face face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
Scripted show and scripted news wtf,non-sarcastic,
bewakoof auratein abi milega chai abi tayar ni huwi ha dedo chai,sarcastic,
evadhaa tulaa anubhava aahe raanda jhavuna gheta basa,non-sarcastic,
q pel dete ho guru ji bina tel lagye,sarcastic,
relex mitron ......isa saala aakhira taka ye vaphpha bhee khatma ho jaaegaa ..... smiling_face_with_heart-eyes,sarcastic,
are mitraa too kashaalaa yaa vishayaanmadhye ghusatoya too kashaalaa banavalan pa.ckejachyaa rileteda too kashaalaa pablika sho karata aahe haa mahaaraashtra mitra aahe kaa dillee yupee bihaara aahe kaa jo bhaashaa samajala tyaa bhaasheta tithe uttara dilan jaatan,non-sarcastic,
jo party power me hai vo paise degi na ya opposition paise dega? face_with_tears_of_joy,sarcastic,
My request to be Narendra Modi ji cancel the waqf act,non-sarcastic,
Kis bhid rhe ho be... Sudhanshu Trivedi hai woh... fire face_with_tears_of_joy,non-sarcastic,
tu jya mansa la bhetes tya mansa sobat hamne tumko dekha tumne hamko dekha kartes ka face_with_tears_of_joy ata pryant kiti lokana bhetli ashlil tu,non-sarcastic,
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,
Or vote do congress ko rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic,
yamraj picnic mein gaye hai.. skull,sarcastic,
face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_open_mouth face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
gravity ki biwi pregnant thi so vo nhi a ska neutral_face,non-sarcastic,
"aare bhai ungli to ki na tune, ab bhugat",sarcastic,
koi bat nahi nark me iske liye iski alag se saza tyar ho gayi hai aur kabhi mere mahakal ke bhagat ke samne a gayi nark me hi dikha duga isko enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,
bnd kr apni bkwas gddar enraged_face,non-sarcastic,
tu nakkee anna khaatee kaa bhangaara saalee,sarcastic,
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,
cross_mark enraged_face India check_mark_button crying_face crying_face,non-sarcastic,
skull moai moai check_mark_button fire cross_mark cross_mark_button,non-sarcastic,
aamache baalaasaaheba thaakare yaanche vichaara hindutva vaadee hote asalyaa budhavaara petheteela baaeelaa gheoona uddhava saaheba shivasenaa chee laachaara senaa karuna taakalee fire fire,non-sarcastic,
Jali na jali naa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,
