Transliterated_Comment,sarcasm_label
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing didi ji bahut jaldi pahunch gai aap to,sarcastic
Gravity gai man chudane pahle inko content banaane do face_with_tears_of_joy face_with_tears_of_joy,sarcastic
trooptee desaaee la jasa daankaa dakhvla hota tasa daankaa aandhare bail pan dakhvava lagtoy… #directicu,non-sarcastic
Ye aadmi Google ka bhi baap hai face_with_tears_of_joy,sarcastic
bjp ne to bde de diye 1500000,sarcastic
kuch din bad o ladke hi jay shre ram bolega,non-sarcastic
aare bike wala wo chaca ji ap ki papa ki age ka h khudki galti dikhai nenhi de rahi hai kiya unse uchi bat kar rahe ho. aaap ki bike ap ni bap ki road par chalana or ghusa dikhana tik hai. pekele kis ki rong dekho or bat kiya karo yar. kanha kanha se ajate hain ye log beaming_face_with_smiling_eyes beaming_face_with_smiling_eyes grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes smiling_face_with_smiling_eyes,sarcastic
fire fire fire fire hindu_temple triangular_flag triangular_flag triangular_flag oncoming_fist_light_skin_tone,non-sarcastic
aare bhai tum bhi to wahi kr rhe ho post kar ke,sarcastic
Wo sudhanshu Trivedi hein Indian constitution current affairs sab indian history geography science sab break fast mein khate hein,non-sarcastic
garv se kaho ham hindu hai triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag jay maharana jay newar,sarcastic
Kuch na karna par khatra nai hai face_with_tears_of_joy,non-sarcastic
Do ppl need any other proff to call him muslim? Or is it enough?,non-sarcastic
German shepherd check_mark_button rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
jhahat cross_mark check_mark_button mil raha h jo aunty log ko modi niwas le ke viswas ghat kar li y log,non-sarcastic
"Ye galat hai bhai, sanatan Dharma ka apmaan angry_face_with_horns angry_face_with_horns angry_face_with_horns fire fire",non-sarcastic
clapping_hands clapping_hands clapping_hands crying_face crying_face crying_face,non-sarcastic
aab app log ka rasan bhi band hoga. our do vote paisa ke liye,sarcastic
Real hai me tha vaha pr smiling_face_with_heart-eyes,non-sarcastic
Lekin isme Gravity kha Gyi face_with_tears_of_joy,sarcastic
jo party power me hai unhone paise dene ki baat nhi kri rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
dar ki ma ki chu check_mark_button,non-sarcastic
red_heart red_heart red_heart red_heart fire fire,non-sarcastic
dhruv rathi k mu me hoga kuch fasa huva isliye nhi bol raha hai kuch !!!!,sarcastic
Balasaheb thakare abi hota to is raut k gant pe lat mar k bhar fak dete face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Tu chal ok Jai sheer ram clapping_hands,non-sarcastic
Eating 5 star jhat kaam na Karo piyo mounten dew dar ke maa ki chu* rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
rahul ke ghar pahocho vaha milega.....,sarcastic
nodi fans like kro fire red_heart,non-sarcastic
Our ye sabko jail se bahar nikal kr bjp me samil kr rhe hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
sanjaya raava sobata tujhe laphadata kasaa chaalalaa,non-sarcastic
Me hota to matherchod ko Marta fir chahe jo bhi hota,sarcastic
Lee Mut Diyaa Sare Youngers kee Thinking pee rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing Aree vai Tab Kajriwal Not as a CM of Delhi. 28 December 2013 the second youngest chief minister He is. Thoda Toh padlo,sarcastic
bhai samne se pelne ki bat kr rhi hain wo pil lete yaha bhi waha bhi... eetta zid kr rhi chale jate raising_hands,non-sarcastic
Kon sa huq bee sakl dikhne ki to aukaat nhi h baat mandir ki dur rakho face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Editor hai. Bhai ye edit kr kr ke nafrat raita hai bs agar ye sach hota to abhi tk to news channel wale bar bar dikhthe face_with_tears_of_joy,non-sarcastic
skull skull skull skull skull k,non-sarcastic
Kro na toh sookh se kro face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
sach batao dulhe per apane kitne dafa jhula ka hai,non-sarcastic
karodapateechaa betaa naa too khaalee anbaaneechaa betaa kaaya bhenchota ardhyaa muleeche,sarcastic
modi ne 15 lakh nhi diya account me rolling_on_the_floor_laughing,sarcastic
sab ke sab pagal ho gaye hai abhut chaldi maroge sab ke sab enraged_face,non-sarcastic
Gravity gayi ma chudane face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
gand diya aur paisa na mila ye tho ese hua,non-sarcastic
Heart touching video cross_mark kidney touching video check_mark_button check_mark_button check_mark_button face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
godi media mahoday rahul ne bank account me bhejne ko kha tha vo bhi sarkar banane ke bad toh ye dogla pani kahe karva rhe ho thoda dimag lgao,sarcastic
He proves chapri always be a chapri,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Please don't spread lies. Go and search more,sarcastic
faltu kitna bakwas banda hai ye ...jisko jwetaya hai...ek no lafkibaz,non-sarcastic
Nhi hona chiye ye gandu act cross_mark cross_mark,non-sarcastic
Gravity gayi Maa chudanee face_with_tears_of_joy face_with_tears_of_joy r2h on toh,sarcastic
alla hu akbar nahi ola hu uber ( hamara ram mandir jindabad tha jindabad he jindabad rehaga) jai shree ram,non-sarcastic
eesko khud ko pata nahi kitne iske khud ke hai aur kitne....,non-sarcastic
moai behen*** ye MC BC Chaachi C**** usko ch*** isko Ch*** face_with_tears_of_joy,non-sarcastic
ye galat h ye ladki galat h xxx,non-sarcastic
jai shree ram triangular_flag triangular_flag didi's,non-sarcastic
Ab jao rahul gandi ke ghar me uske bistar par 50 lakh dega.lalach ise hi kahte hai.jago Hindu jago abhi bhi time hai.dekh rhe hai na pese ka lalach kisko h.bura lage to SORRY OR acha lage to like/comments kre winking_face_with_tongue winking_face_with_tongue winking_face_with_tongue winking_face_with_tongue winking_face_with_tongue,sarcastic
Inke sath bohot accha hua enraged_face enraged_face,non-sarcastic
een sha aallah rahul gandhi sir... mujhe paise ki zarurat nhi hai bs eendia mei sukoon reh hindu nuslim na ho bs,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Sorry main a video me ageya,non-sarcastic
Gentlemen people support country not religion Shree krishna to Dil me hote hai.,non-sarcastic
face_with_tears_of_joy ye sahi tha guru face_with_tears_of_joy rolling_on_the_floor_laughing,non-sarcastic
jali na bey jali teri gand jali hai bey nikal #nkj red_heart,non-sarcastic
पोपटा पोपटा तुझा रंग कोणता face_with_tears_of_joy,non-sarcastic
bahanachoda aura beteechoda jaisee gaaliyaan tuma jaiso ke lie hee banee hai face_with_tears_of_joy,non-sarcastic
Heart touching video cross_mark kidney touching video check_mark_button,sarcastic
Band this as soon as fast as,non-sarcastic
aabhi koi jita nahin hai cross_mark,non-sarcastic
Bni bewakoof choro ke chakkar me phir se face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Aare hoga bhi tho July ko hoga face_with_tears_of_joy,sarcastic
For change Vote for Modi fire fire fire fire,sarcastic
Siv ka landd hai to to kya charayrga thik Kiya hai face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
eendia eendia eendia eendia eendia eendia eendia,non-sarcastic
Isko to marvel movie's me le na chahiye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
tum hi is par video bana do ek,non-sarcastic
Jai ho yogi aadityanath red_heart fire,non-sarcastic
और मिलेगा भी नहीं कभी face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
"ba.de baapa kee biga.dee olaada hai , mahangaa nashaa karatee hogee ,",sarcastic
Mountain dew cross_mark tune kuch nahi Kiya cross_mark_button,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ghalun dakhva mg sangto ami saglezn,non-sarcastic
System ko to srkar ne award dia tha uska ky face_with_tears_of_joy,non-sarcastic
ye log ko minority bolte hai...isliye baki sab parties chodo or bjp ko vote do .ab yehi party sab kuch thik kar sakti hai..,sarcastic
Bike se dala ki maa chod di face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
yaa bhaavaane phakta eka mima banavalaa ...kee mee mothyaa baapachaa mulagaa aahe paise devoona sarva bhikamanage sistama kharidee karoo shakato...,sarcastic
teri ma ki lwde hai kya re,sarcastic
wo hi aallah ek din bulle nein mila deta tum log ku ab bolo bulla ka akbar face_with_tears_of_joy,non-sarcastic
Moye moye ho gaya inka face_with_tears_of_joy,non-sarcastic
bhai sitting cm ki bat h,non-sarcastic
nountain dew +5 star cross_mark daru+ganja check_mark_button,non-sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic
cross_mark_button cross_mark cross_mark_button cross_mark cross_mark_button cross_mark cross_mark_button,non-sarcastic
proud to be hindu ( hum apne dost ki bhen ko bhi apni bhen samjhte hai),sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
aaree ja. sarkar banti to ate ab nodi ji dege kyun ke wo hi pradhanmantri bane hain na hum unki hi to janta h wo maze lege to hume ghareeb ko maze ni karayen ge,sarcastic
#congress kaha ha Bhai Paisa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
TV Serials ko bhi fate pe mara rolling_on_the_floor_laughing,non-sarcastic
"It's about a sitting CM, in 202",non-sarcastic
eendian media cross_mark bikau media check_mark_button,sarcastic
enraged_face enraged_face enraged_face enraged_face cross_mark face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy check_mark_button,non-sarcastic
No enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face fire triangular_flag,non-sarcastic
tu gav jani te sang adhi,non-sarcastic
aave kyu karde ho yr. phele log sikh nu mada kehnde ne,non-sarcastic
aab tu bhi ja k reh le wahan,sarcastic
ees tarha to har jati ka apna savindhan bana chahiye,non-sarcastic
sochne wali bat hai ki garib bhi musalman hi hai..wahan to hindu nazar bhi nhi arahe hai..mtlb ki inko jaldi hi sikhsa di jaye..thodi padhai ki hoti to syd hindu k jaise chalak hote..,sarcastic
e bhikhaariyon kee sarakaara hai aura laaina bhee bhikhaariyon kee hai|,sarcastic
ये महिला होने का फायदा उठा रही है face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Uniform civil code is the only key to remove all the unnecessary laws acts and unwanted institutions,non-sarcastic
Proud to be a andhbhakt red_heart crown triangular_flag,sarcastic
"'teree aakada to aba pulisa todegee jhaatoo, kyaa jarurata thee beecha me apanee maiyyaa chudaane ki",sarcastic
aabe niyogi aur jo modi murti vishwanath corridor banata hai laxman ki murti laga ta hai uska kya kummbh mela mein paise kyon deti hai sarkar,sarcastic
Where is mother f****** Dhruv Rathi,sarcastic
Ab iski ---> kaaba bhi unboxing hone vali he..... face_with_tears_of_joy jay shree ram triangular_flag,sarcastic
jine ise ticket diya hai wahi ab batayega ise is ki asali aukat bhagwan k ghar par der hai ander nahi jai shree ram jai shree mahakal ab na bachegi ye folded_hands folded_hands,non-sarcastic
eesme dhruv rathee ki kya galti hai,non-sarcastic
fire fire Jay shree ram fire fire,non-sarcastic
yeto dusri country ka kanoon jese ho jisme bharat sarkar kuch mahi kar sakti…kya gandu law ye is desh ka rolling_on_the_floor_laughing,sarcastic
ye bahan bas is liye chup rah gayi q ke wo eendia me nahi hai eendia,non-sarcastic
"legend's let's fill in the blank "" kyunki ki inki kartut ko _______________"".",non-sarcastic
Haram ka paisa ke liye desh ko bech do tumlog 8000 rolling_on_the_floor_laughing rolling_on_the_floor_laughing,sarcastic
red_heart red_heart fire fire clapping_hands clapping_hands smiling_face_with_heart-eyes Oho bawaa,non-sarcastic
bharat ki janta khule vichar ki hai par media toh aaaj tak jesa faltu hai uska kya kare,non-sarcastic
sar ka sar haram ka bije ha kya jo itna bade bat bol di enraged_face enraged_face,non-sarcastic
eenka to noye noye ho gaya,non-sarcastic
Lene vale to dekho kon hai??? rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing jay shree ram triangular_flag,non-sarcastic
Not at all we want equality,non-sarcastic
Chamcho ab enko anbhakt bolo Muslim anbhakt face_with_hand_over_mouth face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
koee mullaa dikha nahee rahaa hai jaya shree raama triangular_flag triangular_flag,sarcastic
koi katulla comment section m nhi dikh rha h,non-sarcastic
"one nigga said ""do nothing+ dar ki ma ki ch**=this uncle"" skull",non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
live dekhne ka ghamand hai alien,non-sarcastic
yr sirf bahr ke hi kr skte h not indians,non-sarcastic
eka baaee bolataanaa kaaya chukalee. sagalyaannee svatahchee laayakee daakhavoona dilee. aapalyaa devaannee chukaa kelyaata tyaa kaa kelyaa yaachaa pana aapana vichaara kelaa paahije. deva chukoo shakataata mhanalyaavara maanoosa chukana pana sahaajika aalaacha baaeelaa shivyaa denan hee pana aapalee sanskrritee nakkeecha naahee,non-sarcastic
bhai tu yeh deserve karta hai kya zarurat thi bakwas karne ki,sarcastic
Modi ji or yogi ji ko lao desh bachao jay shree Ram Hindu rashtra banao apne desh ko Mulla free hindustan Congress free hindustan aap free hindustan folded_hands,sarcastic
अब लें पेसा टका टक rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
BJP check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button,sarcastic
raanda aahe ho hee chinaala 300 roo. shaॉta na dhandaa karate hee aani haa yaa udhava le bhee samajata naahee kaa bhaadyaalaa fire,non-sarcastic
bilkul nahin isko turant jald se jald radd kar dena chahie,sarcastic
aab o nahi bolega ye sab uske amma ke yar ha,non-sarcastic
mitron aba tuma saba ko naukariyaa kataa kata aura hara maheene paise khaaton men phataa fata milegee face_with_tears_of_joy,sarcastic
Duniya hi muslim ki h face_with_tears_of_joy,non-sarcastic
le lo paise ab pagal kam buddhi wale log hai ye smirking_face,sarcastic
tu media wala pagal hai okay,non-sarcastic
aabe bhai yeh jaha dikh jata hai mjh gusse or ata hai.. face_without_mouth,non-sarcastic
जिन्हें पैसा नही मिला अब राहुल को खपा खप खपा खप करो भाई face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Advertisement power level in India skull check_mark_button,non-sarcastic
Uncle play gta 6 in real life moai skull,non-sarcastic
Mountain Dew check_mark_button dar ki maa ki chud skull fire rolling_on_the_floor_laughing,non-sarcastic
Kuch kare bina hi dar se jeet jaoo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
nandir basa nahi ki bhikari ana chalo hogye,non-sarcastic
ek bat batuo ki patar upar se kon phekta he aur kyon aur bacche ko gar se bahar zameen par kon leta he matlab reel ke kuch bhi face_with_tears_of_joy,sarcastic
sab ka bap ek hi bolo jay shri ram all friends triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
tan nan dhan se kejriwal desh ko lutega yah kasam kha raha hai,sarcastic
Modi k 15 lak Aagay kiya Account may face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
dear ki ma ki chhut skull skull moai,non-sarcastic
ye to kothe vaalee vahee la.dakee hai,non-sarcastic
MADAM KO DARD BILKUL NAHI HUA face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
kash ye video 155 din phle mili hoti ....,non-sarcastic
tere ma bhn n jo dy,non-sarcastic
Kabhi kuch na kr ke dekho + dar ke Ange jit h face_with_tears_of_joy,non-sarcastic
dongre mai rhnai wala har insan tanki hai ap ki sarkar kar kiya rhi hia,sarcastic
tmc mtlb teri ma ki c.................,sarcastic
oop m veer bhumi jhansi ki janta ne full support kiya h bjp triangular_flag triangular_flag triangular_flag,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Ye to vahi baat ho gayi ye lakdi kyu padi ho zhad main aja ghus jao meri gaand main face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
cross_mark_button cross_mark check_mark_button skull moai face_with_tears_of_joy,non-sarcastic
bete wo tha he bujurg agar hota na koi garam khoon wala teri kholta pehle,non-sarcastic
nadhar chot balo tum eendia ko batman kor ra heho,non-sarcastic
jaya shree raama triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia eendia check_mark_button check_mark_button check_mark_button,sarcastic
oop ke hindu cross_mark up ke eendians check_mark_button,non-sarcastic
Kya ye act band nhi ho sakta crying_face,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Babri to gay ab gyanvapi bhi jane vali heee face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
ha tu hai par ter ko pata nahe skull,non-sarcastic
whatsup university se padha hai kya bhai badhi thodi hai ulta ghata hai don't trust dhruve rathe cross_mark,sarcastic
aare hila akkal ahe ka.. layki nai hichi politician honyachi..bhangar sali crying_face,sarcastic
Himat asel tr tondach sodun bol na bc mc enraged_face,non-sarcastic
elvish yadav jab jeeta tha tab bhi aishe log bahar aye the jashan manane tab kaha the tum sale,non-sarcastic
vese kidi ko gali dens bhi toh crime h,non-sarcastic
Bhai dhiyan se dekho sari Muslim aurte h Congress ko ache se pata h ki kin logo ko chutiya banana h or ye baat inko samajh me nhi ati face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Fhefde touching video loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face,non-sarcastic
dar ki ma ka bhosada rolling_on_the_floor_laughing skull skull,non-sarcastic
डर की अम्मी की चूत face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
kabhi kuch na karke bhi dekho skull + dar ki mkc moai,non-sarcastic
sudhir bahut bda topinaz admi hai,non-sarcastic
hindu nhi jagenge kuch samye ruko or desh chod ke bhagenge,sarcastic
Nikal face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
godi midya enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
Dar ki m*** ki c****t grinning_face_with_sweat face_with_tears_of_joy,non-sarcastic
Kay hame bhi apni aane wali pidiyo ko ye batana chahiye ke kaise Babar ne ram mandir todkar vaha masjid banae red_heart red_heart are Kam se Kam Babar thik se toh Kam krta koi sabut nahi chhodna chaye tha face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Ullu banaya fatafat fatafat face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
yaalaa pana uchalaa..haa vishaya aani vela tujhyaatalaa kidaa daakhavaayachan navhataa...2 lokaanchan jeeva gelaa aani tulaa tyaanchyaa jeevaavara raap karaayacha hotan,non-sarcastic
puri jagah tumhara kabja hoga jake pakistan mein kabja karo face_with_tears_of_joy,sarcastic
hum bhi apne baccho ko batate rahenge ki ye hamara mandir hai babar ne hamara mandir todd ke masjid banaya tha. par ram ji ke age kiski chalti hai to beta isss mandir ke bare mai tumhare bacche ko b batao,sarcastic
laking sarkar to modi ki bani hai phir kaha sai paisa dega rahul gandhi,non-sarcastic
Are iska dimag 1400 saal ki ..isko thodi pata hai usse pehle sanatan hi thaa ..eia bi converted isko koi batao face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Gravity gayi ma chudane face_with_tears_of_joy loudly_crying_face loudly_crying_face,sarcastic
bhagavaana saba dekha rahaa hai aapa loga kyon apanee jubaana kharaaba kara rahe hain bhagavaana hee hisaaba karegaa,sarcastic
fir bhi hamara hindu soya huva hai.,non-sarcastic
15 laakha ke jaise jumalaa thaa,sarcastic
german dog. he doing video all aanti eendia skull skull,non-sarcastic
Tere pichhwade mein kyon Aag lag Rahi hai tujhe bhi chahie face_with_tears_of_joy,sarcastic
10 dukkara mele asateela tevhaa hyaa baaeechaa janma jhaalaa asela face_with_symbols_on_mouth enraged_face,non-sarcastic
"tere bap me h lekin, mtlb mujhme",sarcastic
dar ki ma ki ch**t skull,non-sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
rathhee apko research team rakhni padti hai aur ye ha mare kalyug ke 4 disha ke gyani sudhanshu ji hai jinke samne google bhi sharma jata hai,sarcastic
Le network :- mere sath gal hua hai beaming_face_with_smiling_eyes,non-sarcastic
Ab bolo proud to be mushlim face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Wtttt a performance fire fire fire fire fire fire fire fire triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic
chut ke uski daru pakdai thi yad hai ki nahin,non-sarcastic
bhai wo tab ruling me nhi tha..,non-sarcastic
NEWTON's LAW clown_face cross_mark INDIAN DRAMA's face_with_tears_of_joy check_mark_button,non-sarcastic
hama bhee bolate rahenge ye muggalo ki aavalaade bhaarata ke mula naheen hain.,sarcastic
Druv Rathee ke Puppets nhi dikh rhe comment section me clown_face,sarcastic
#BJP2024 BoyCott This Board enraged_face enraged_face enraged_face,non-sarcastic
Kuch Milne Vala Nahi He rolling_on_the_floor_laughing,non-sarcastic
Jay shree ram.... triangular_flag triangular_flag triangular_flag,non-sarcastic
hindu secular hone ka natk krte h apni kayarta chupane k liye unamused_face,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
eesko jinda rahne ka hk nhi hai enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
Aise hi tujh jaiso ko andhbhakt kahte hain face_with_tears_of_joy,sarcastic
ye bahut galat kar rahe ho,non-sarcastic
nountain dew +5 star cross_mark desi daru check_mark_button skull skull skull skull fire fire fire fire fire,non-sarcastic
bas itni hi angreji khatam tata by by,non-sarcastic
jali ko ag fire kahte hai buji ko khak kahte jo rak se barud banta hai...use munawwar kahte hai..jai hind,non-sarcastic
"aaree woh kaha gye jo hinduism ko secular kehta h smiling_face_with_tear , dekh lo bhai tmhri atma ko shanti mile",sarcastic
5 star = sahi ha bhai tuna kuch nahi kiya. skull,sarcastic
Jai shree Ram red_heart triangular_flag prayer_beads,non-sarcastic
aisee aurate khataranaaka hai samaaja ke lie parivaara ke lie folded_hands,non-sarcastic
triangular_flag Jay smiling_face_with_horns shree smiling_face_with_horns Ram triangular_flag dagger heart_suit om folded_hands,non-sarcastic
jalne ki bu a rahi kidhar se dhuwa nikal rha hi,sarcastic
khup ghan shivya yetat mala pn amchyavr ase sanskar nahi kele pn shree ram baddal koni bhangar bhunagar bolol na tith yeun gharat ghusun maru # hijadyaa chee aulaada sushmaa,non-sarcastic
aata sagle tumcha sarkhe nasta na madam,non-sarcastic
Vosdike enraged_face gana bahat acha lagaya face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
Biggest reason to vote for BJP,sarcastic
report maro jeda se jeda isko,sarcastic
"Who has such evil smile & devil look? Just look at how she pretends to be an elegant, religious anchor Bloody CHORR fire her!!!! Anchors like her are nothing justa disgrace to the economy #boycottanjanaomkashyap #boycottaajtak",non-sarcastic
enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic
Ma ch*d di iski face_with_steam_from_nose face_with_symbols_on_mouth ch*d gyi ch*d gyi thik hai smiling_face_with_hearts handshake,non-sarcastic
bolo Jay shree ram red_heart red_heart,non-sarcastic
Hine mullaynchi gatha ekli aasel face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic
"None of the Jihadis has nothing to say about how messed up the wakf law is but we're quick to defend how great the desert religion is. The same religion which say earth is flat, the same religion that say you can bear your wife. The same religion that says not to use condoms, the same religion that says to end the non-believers. Fascinating.",non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing isii ke layak hy ye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
Ab ye gandu log india nai aana chaiye yahan se pura rista nata khatam in logo ka enraged_face enraged_face enraged_face enraged_face crying_face,non-sarcastic
इसलिए पढ़ाई लिखाई जरूरी है rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic
Chutiya act or chutiya act banane wala check_mark_button,non-sarcastic
Lekin ye pehle baar hua Bail k baad ED higher court me Jake stay order lata hai .,non-sarcastic
ye sale kbhi nhi sudhar skte,non-sarcastic
sala itna bada jhootha he j?,sarcastic
Dhruv ratee cross_mark lavde ratee check_mark_button,non-sarcastic
Mam ki tattoo cross_mark mam ki gund check_mark_button,sarcastic
kaa.ngresa sarakaarane saaraa desha kharaaba karake rakhaa hai triangular_flag triangular_flag isaliye modee sarakaara chaahiye bhaarata maataa kee jaya triangular_flag triangular_flag,sarcastic
"chapri rider.. chal galti hai toh insan man to le,, ulta juban ladara budhee admi se..",non-sarcastic
Keede poore tarike se saf honge ab face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy real man waiting for his turn,non-sarcastic
yahee hai hamaare desha kaa haala 8500 ke lie bhaarata desha ko becha diyaa vo to hamaare modee jee hain jo indiyaa aaja bachaa huaa hai,sarcastic
