Table 1,,,,
Comments,Sarcastic(s)/Non-sarcastic(ns),,,
eess kanhaiya ko apni bansuri par control nahi …,non-sarcastic,,,
asli power dil me hoti hai,non-sarcastic,,,
ab south africa me bhi shop ke bhar #bika_hua_wapis_nhi_hoge ka board ltga hai .... #IndvsSA shabash shero ..........!! make us proud .....,sarcastic,,,
lol. ab nahi ayega jawab,non-sarcastic,,,
to bhai srk ka target audience eendia hai ya ooaae.. aagli film dubai me release hogi to tu kaise dekhege …,non-sarcastic,,,
aaur #rahulgandhi ji ne apni hi party aur apne pariwar k itne salon k is mehnat par ek aur #selfgoal kar diya ...,non-sarcastic,,,
#trump must be so envious of #kejriwal .. sochta hoga aisa kya karta hai ye am admi ki mujhse jyada trend ho raha hai,non-sarcastic,,,
"batao ap, kahan milna hai?",non-sarcastic,,,
ye duniya pittal di,non-sarcastic,,,
i totaly agree with the post . . teachers have no right to spoil students carrer now . . . .,non-sarcastic,,,
dosti bani rahe,non-sarcastic,,,
Sena se #SurgicalStrike ke proof maangne wale pakistan premi #ArvindKejriwal deshdrohi hain . twitter . com / xX 7 W 3 kC 0 Tu,non-sarcastic,,,
"superb again!! line mat kato kutton, ap qatar mein …",sarcastic,,,
zindagi abhi baki hai mere ghost,non-sarcastic,,,
"RT : As per Rajmala , the royal chronology of Tripura , a total of 184 kings ruled over the state . #7SistersOfIndia #History",non-sarcastic,,,
endymion for the 4th time i blieve . ! ahaha #teamorjan #clhrday,sarcastic,,,
guddu ab . . . young ho raha h . .,non-sarcastic,,,
"ghar main aagarbatti din main do bar use hoti hai. pooja important hai but ""pooja ""aarchana sadhana etc nahi. #gstcouncil #gst",non-sarcastic,,,
aur tum log maza le rahe hai 0 student #jnoo ka protest kar rahe #aanoo 0 wah wah wah,sarcastic,,,
"tu apni state mein ""rape violence rok. haryana ki durdasha kar di hai. film bada issue nhi hai murkh. bada deshbhakti ka tekhedar bna hai.",non-sarcastic,,,
i wish ke aap aur main ye contest jeete,non-sarcastic,,,
"yaha ₹5 se lekar ₹500, sab chalte hain. chhutte ki tension mat karo, bus paytm",non-sarcastic,,,
"bap bda na , bhiya , , sbse bda rupaiya h aj k liye . . . . . .",non-sarcastic,,,
"ye tujhe bechne ka plan kar raha hai, heera bolkar",non-sarcastic,,,
Sir Jee Himmat Agar Itna He Hai to #Reservation Hatayiye... #Demonetization aur #GST to Koi Bhi Kar Sakta Hai..,non-sarcastic,,,
kareena: kaun hai woh jisne mujhe dobara palat kar nahi dekha? sony tv: aanoop soni,non-sarcastic,,,
. ja bhai sawari dhoond..,non-sarcastic,,,
excited about the bump in ram for raspberry pi . such a nice surprise for a monday . : ),sarcastic,,,
trai ko kya problem hai jab koi free de raha hai #jio #airtel,non-sarcastic,,,
dil dhak dhak karne laga.. mora jiyara darne laga..,non-sarcastic,,,
aac bahut chalta hai,non-sarcastic,,,
"paise dene ki bat hi nahi rahi, bas khana khila do (in lines to my original tweet) :-)",non-sarcastic,,,
