Original_Comment,Cleaned_Comment
"Airtel mein network to aata nahi, 4G kaha se aayega?","aairtel mein network to ata nahi, 4g kaha se ayega?"
Bhai 2017 ki zabardast shuruaat hui hai !,bhai 2017 ki zabardast shuruat hui hai !
"Zaroor zaroor, shukriya hai!","zaroor zaroor, shukriya hai!"
"@Heerahee bhai usne paise diye, maine sirf order kiya. Lol","bhai usne paise diye, maine sirf order kiya. lol"
"Baal achhe katwaye hai madam, kaunsa hajaam?","bal achhe katwaye hai madam, kaunsa hajam?"
abe teri tareef kiya ki tu musical instrument achche bajata hai  @kachra_peti,abe teri tareef kiya ki tu musical instrument achche bajata hai
guddu bohut vulgar ho gaya hain .  .  .  .  .  .,guddu bohut vulgar ho gaya hain . . . . . .
Aise batein choclate ka daba gift kar k samjhae jati hai :p https://t.co/Wwp9fZKasG,aaise batein choclate ka daba gift kar k samjhae jati hai
bhai pichle world cup ind vs england match mei salla ek tang pe khada tha .  .  .,bhai pichle world cup ind vs england match mei salla ek tang pe khada tha . . .
"ha ha ha i used to do it .  .  . record he kabhi bhi file ,  assignment ya model type dusro se banwane ka :) :p","ha ha ha i used to do it . . . record he kabhi bhi file , assignment ya model type dusro se banwane ka"
"@Alllahdin main ek nek, seedha saadha sa banda hu :-/","main ek nek, seedha sadha sa banda hu :-/"
@narendramodi # aadarniya pradhanamntri ji ko #GST yani good and simple tax ke naye yug ki aadharshila rakhne ke liye hardik badhai 0 Namo !,# adarniya pradhanamntri ji ko #gst yani good and simple tax ke naye yug ki adharshila rakhne ke liye hardik badhai 0 namo !
Kamaal karti ho @Insane_chorripic.twitter.com/ys4H1IcDkN,kamal karti ho
"india proud on you #PVSindhu "" #sainanehwal","india proud on you #PVSindhu "" #sainanehwal"
@akshaykanitkar bc baas gayee hogi.. 12 saal fridge me rakhi thi kya.. ye to fresh hai.. 2 mahine pehle bani hai,bc bas gayee hogi.. 12 sal fridge me rakhi thi kya.. ye to fresh hai.. 2 mahine pehle bani hai
guddu baal katwa le bhai .  . bahut lambe ho gyee,guddu bal katwa le bhai . . bahut lambe ho gyee
hey mery inbox mai msg agay salman ka yahooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo\,hey mery inbox mai msg agay salman ka yahooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo\
"@dan1shmemon Kya karu, mujhe abhi dimag me aaya","kya karu, mujhe abhi dimag me aya"
@Sand_In_Deed bhai mein dosto pe sly nahi maarta.. Ye kisi aur ke liye hai @Being_Humor,bhai mein dosto pe sly nahi marta.. ye kisi aur ke liye hai
Zeher hai ke pyar hai tera chumma..pic.twitter.com/In5eHgqHky,zeher hai ke pyar hai tera
@shrutinshetty muh band karle bhai.. Machchar ghus jaega @angryoungwoman,muh band karle bhai.. nachchar ghus jaega
@scratchysingh Singh Saab ye sab bandh hona chahiye,singh sab ye sab bandh hona chahiye
desh ki badkismati .. chai wala p.m...or padha likha p.m maun,desh ki badkismati .. chai wala p.m...or padha likha p.m maun
Ap ramzan ma rozy rakhty ho?,aap ramzan ma rozy rakhty ho?
"mere primary school ke supw projects mere papa he banate the par mere h . s .  school ke supw teacher toh mere papa he the ,   .  .  .  yaad aa gaye woh din :d","mere primary school ke supw projects mere papa he banate the par mere h . s . school ke supw teacher toh mere papa he the , . . . yaad aa gaye woh din"
@zoomphatak hahaha.. Baat to sahi hai,hahaha.. bat to sahi hai
i'll be rooting for penn state tomorrow .  .  . even tho they murdered joe pa for something he didn't do !  the new coach &amp,i'll be rooting for penn state tomorrow . . . even tho they murdered joe pa for something he didn't do ! the new coach &amp
"superlike ka button kaha hai ,  mil nahi raha hai . ","superlike ka button kaha hai , mil nahi raha hai ."
@DefucktiveHumor Sheen ke saath jaana,sheen ke sath jana
"bhai, aap Aalok Nath ke aashirwad se sab jagah pahuch jaate hai  @Baburao_ @IamEJF","bhai, ap aaalok nath ke ashirwad se sab jagah pahuch jate hai"
"Ab karo #surgicalstrike & do the show - off .. Modi Modi karne se kuchh nahi hoga "" jawan marte rahenge & ye bhaio behno karte rahenge","aab karo #surgicalstrike & do the show - off .. nodi nodi karne se kuchh nahi hoga "" jawan marte rahenge & ye bhaio behno karte rahenge"
by god ye wala to super dhaansu gag banaya hai faisal bhai .  .  .  .  .  .  kasam se,by god ye wala to super dhansu gag banaya hai faisal bhai . . . . . . kasam se
@Atheist_Krishna karara jawaab milega.. karara jawaab milega,karara jawab milega.. karara jawab milega
"chhod do usse, mujhe pakad ko","chhod do usse, mujhe pakad ko"
Ye Hardik Pandya 3-4 match me ek bar 1-2 chhakke marega aur bowling me aise hi pit kar team ki lanka lagata rahega.,ye hardik pandya 3-4 match me ek bar 1-2 chhakke marega aur bowling me aise hi pit kar team ki lanka lagata rahega.
@BabaFirki :D waah bada khush lag raha hai. Aisa kya hogaya? bataa,wah bada khush lag raha hai. aaisa kya hogaya? bata
@PlusOneJokes kyu ghar aa kar mere kapde dhone hai ?,kyu ghar a kar mere kapde dhone hai ?
".@NitishKumar sare moral courage ka theka Modi ne liya hai kya? tum jo chor-uchakke Lalu ki bahon me jhool rahe ho, where's ur moral courage",". sare moral courage ka theka Modi ne liya hai kya? tum jo chor-uchakke Lalu ki bahon me jhool rahe ho, where's ur moral courage"
"* JAI_SHIV_SHANKAR * JACOBABAD MEIN REHNE WALI TAMAM HINDHU BRODRY KO "" MAHASHIVRATRI "" KI LAKH LAKH BHADAI DETE HAIN , BY > @HINDUSANGATJCD ( TEAM )","* jaaee_sheev_shaankaar * jaacobaabaad neeen rehne waalee taanaan heendhoo brodry ko "" naahaasheevraatree "" kee laakh laakh bhaadaaee dete haaeen , by > ( teaan )"
@LEDtvn kiske liye sly maare jaa rahi hai,kiske liye sly mare ja rahi hai
Khoobsurati ke saath jadeja ne phir ek baar hagg diya hai. #IndVsWI,khoobsurati ke sath jadeja ne phir ek bar hagg diya hai. #eendvswee
Aby bhai sarfaraz t hy dhoka nae dyga.,aaby bhai sarfaraz t hy dhoka nae dyga.
and the 4th one is for harry styles !  !  &lt,and the 4th one is for harry styles ! ! &lt
"Rahul Gandhi : Bhaad mein jao Tum sab , mein nahi khelta politics-volitics . #RahulOnLeave","rahul gandhi : bhad mein jao tum sab , mein nahi khelta politics-volitics . #rahulonleave"
@Vyomnaut Kejriwal ne Ashutosh ko bhi khulla chhod rakha hai.. Khatarnaak.. bohot hi zyada khatarnaak,kejriwal ne aashutosh ko bhi khulla chhod rakha hai.. khatarnak.. bohot hi zyada khatarnak
you could talk to the admission committe in cie  .  because the mistake was by du itself  !,you could talk to the admission committe in cie . because the mistake was by du itself !
"@dedh_battery pata hai, mujhe ashcharya hota hai investors par, kitne bewakoof hain, ya phir ye IITians bade shatir, like kejri lol","pata hai, mujhe ashcharya hota hai investors par, kitne bewakoof hain, ya phir ye eeeetians bade shatir, like kejri lol"
Subah ka bhula raat ko ghar aaya hai.https://twitter.com/ANI_news/status/669237065964322816 …,subah ka bhula rat ko ghar aya …
kab tak contra k 2nd stage mei phasa rhega .  .  . best 1  !  !  !  !  !,kab tak contra k 2nd stage mei phasa rhega . . . best 1 ! ! ! ! !
Kuchh ek word #MumbaiTerrorAttack per bhi ho jaye ... Ya vo #aap ke manifesto nahin hai .. Ya pradhanmantri ban ne ke baad he bologe sir ji,kuchh ek word #numbaiterroraattack per bhi ho jaye ... ya vo #ap ke manifesto nahin hai .. ya pradhanmantri ban ne ke bad he bologe sir ji
Sir @ashutosh83B aapka ye movie pyracee ke baare mein kya khayal hai?,sir apka ye movie pyracee ke bare mein kya khayal hai?
"Aaj kal tere mere pyar ke charche har zubaan par, sabko maalum hai aur sabko khabar hogayi. 
Could you just play it low profile woman?","aaaj kal tere mere pyar ke charche har zuban par, sabko malum hai aur sabko khabar hogayi. could you just play it low profile woman?"
pradeep tiwari tumhare liye special  .  .  .,pradeep tiwari tumhare liye special . . .
@balliawalebaba Ab Bihar me aayegi bahaar #GoodByeNitishKumar,aab bihar me ayegi bahar #goodbyenitishkumar
are abhi to Dus minuts baki hai Bhai....,are abhi to dus minuts baki hai bhai....
"""Sir isne AAP ko vote diya tha.. Ab dekho iska kya haal ho gaya hai..""pic.twitter.com/U0c3wWwrjy","""sir isne aaaap ko vote diya tha.. aab dekho iska kya hal ho gaya"
#RoyalBaby sirf ek hi hai.pic.twitter.com/hWDYRYUwnH,#royalbaby sirf ek hi
.@ArvindKejriwal kaam karne ka ek bahana.. Na karne ke hazaar,. kam karne ka ek bahana.. na karne ke hazar
missus abhi mayke gai hai.,missus abhi mayke gai hai.
Mam .. yeh jo apne room mw baith k aap Rita ji aur anya netaon k #Mannkibaat jaan leti hai .. yeh bhi ek talent hai ..,nam .. yeh jo apne room mw baith k ap rita ji aur anya netaon k #nannkibat jan leti hai .. yeh bhi ek talent hai ..
@cajetanvaz Canon. Because Canon ke haath bahut lambi hoti hai.,canon. because canon ke hath bahut lambi hoti hai.
"Bhaiyo aur unki baheno, tumhare blogs mein meri tweets nahi dekhni. Me khud apni TL pe apni tweets nahi dekhta.","bhaiyo aur unki baheno, tumhare blogs mein meri tweets nahi dekhni. ne khud apni tl pe apni tweets nahi dekhta."
hahaha shan ko dekh kr school ke din yaad aagaye  .  .  .  .  .  .  .,hahaha shan ko dekh kr school ke din yad agaye . . . . . . .
@SimplySajidK good. banane ki to sochna bhi mat,good. banane ki to sochna bhi mat
@sachin_rt @imVkohli jab stand me ho bhagwan ( sachin ) to kya bigad lega pakistan . . .,jab stand me ho bhagwan ( sachin ) to kya bigad lega pakistan . . .
hello sir aap online ataa ho pata b nai chalta kab ataa ho aur chale jaate ho :(,hello sir ap online ata ho pata b nai chalta kab ata ho aur chale jate ho
"Wo kaam karte rahe, hum movies dekhte rahe'","wo kam karte rahe, hum movies dekhte rahe'"
@Prakashjaaju 10 bhi pahuch jaye to baki ke 5 mujhse le lena.,10 bhi pahuch jaye to baki ke 5 mujhse le lena.
टीम इंडिया के पास K L Rahul है और कांग्रेस के पास K L P D Rahul,teema indiyaa ke paasa k l rahul hai aura kaangresa ke paasa k l p d rahul
#Nawaz ke saath Biryani aur Ab #Trump ke saath Dinner 0 Bahut Yarana Lagta Hai !,#nawaz ke sath biryani aur aab #trump ke sath dinner 0 bahut yarana lagta hai !
"@kkundra @kritika_kamra ajeeb h , kata tha nail aur pain ho rha h finger mei .. ' Mai pareshan .. pareshan .. pareshan ' Well Gud Mrng :) eee smile : *","ajeeb h , kata tha nail aur pain ho rha h finger mei .. ' Mai pareshan .. pareshan .. pareshan ' Well Gud Mrng eee smile : *"
"""Aae tu to chala gaya.. Us gadhe ko mere liye chhod gaya.."" #RememberingRajivpic.twitter.com/feHaIwlqK5","""aaae tu to chala gaya.. oos gadhe ko mere liye chhod gaya.."" #"
student 3 aur school bag 2  .  .  .  . bahot na .  .  . insaafi hai ye .  .  .,student 3 aur school bag 2 . . . . bahot na . . . insafi hai ye . . .
@MildlyClassic  aap jaisa fan pakar hum dhay ho gaye :) honoured bhai :),ap jaisa fan pakar hum dhay ho gaye honoured bhai
Aaj meri admission thi. But bed nahi mila. Isliye admission ho nahi payi. Isliye main yaha chali ayi. :) :) :),aaaj meri admission thi. but bed nahi mila. eesliye admission ho nahi payi. eesliye main yaha chali ayi.
cm bn gya kejriwall .  .  .  . 1oo%,cm bn gya kejriwall . . . . 1oo%
@iamGunjanGrunge @hitennarendra safed paani ki jheel ho kaa be ?,safed pani ki jheel ho ka be ?
Ishq me #Goli aur #Run _ chase me #Kohli na chale to maja nahi aata #Dhoni ki stumping aur heart pumping ek saman Hoti hai 0 #ViruPanti #INDvAUS,eeshq me #goli aur #run _ chase me #kohli na chale to maja nahi ata #dhoni ki stumping aur heart pumping ek saman hoti hai 0 #virupanti #eendvaaoos
we are here @someUSER for our 12th anniversary celebration .  you still have time to make it - 6620 s .  king dr,we are here for our 12th anniversary celebration . you still have time to make it - 6620 s . king dr
Gaon mein bijli nhi aur #DigitalIndia bann rhe hain ... Company saari bideshi aur #MakeInIndia keh rhe hain ...,gaon mein bijli nhi aur #digitaleendia bann rhe hain ... company sari bideshi aur #nakeeeneendia keh rhe hain ...
RT @SwadhaShankar : Jo amrit pite h unhe Dev lehte h n jo Vish pite h unhe Devo k Dev #Mahadev kehte h #Mahashivratri Lord Shiva,rt : jo amrit pite h unhe dev lehte h n jo vish pite h unhe devo k dev #nahadev kehte h #nahashivratri lord shiva
@Atheist_Krishna @HathwalaThakur  kaun shaadi kar raha hai uske saath?!,kaun shadi kar raha hai uske sath?!
@IamVibhor_  kabhi socha hain aise bhi lag sakti hain vaat?  https://www.youtube.com/watch?v=CK4rf9T6OrI&feature=youtu.be … #LagGayiVaat Shine,kabhi socha hain aise bhi lag sakti hain vat? … #laggayivat shine
"Moral of the story: BAAP BAAP HOTA HAI, AUR BETA, BETA! #IndvsPak","Moral of the story: BAAP BAAP HOTA HAI, AUR BETA, BETA! #IndvsPak"
Sahi time pe kalti maar lena chahiye 0 Warna gile shikwe shuru ho jaate hai - #YJHD / #MSD,sahi time pe kalti mar lena chahiye 0 warna gile shikwe shuru ho jate hai - #yjhd / #nsd
@Fussy_Ca aur kal subah Bakra halaal  @RoflModi_ @VyangyaPuraan,aur kal subah bakra halal
@madhurahnaikHappyMahaShivratriCuteMadhura Naik Ji Har Har MahaDev,naik ji har har nahadev
@MehekMahtani aap banao.. Mere liye,ap banao.. nere liye
Copy karte ho.. Khulla bhi bolte ho.. Phir gyaan kyu pelte ho.. pic.twitter.com/5DaRGloSXZ,copy karte ho.. khulla bhi bolte ho.. phir gyan kyu pelte ho..
@huh_watnow tumhare haath ka to hum zeher bhi kha lenge,tumhare hath ka to hum zeher bhi kha lenge
cc @ArvindKejriwal lagta hai PayTM ne Modiji ko paise dena band kar diyahttps://twitter.com/nationalizer/status/814796685109067776 …,cc lagta hai paytn ne nodiji ko paise dena band kar …
Itni raat ko Ishant Sharma? Mia Khalifa ka kuch bhejo jarahttps://twitter.com/its_Saiyesh/status/647859546048716800 …,eetni rat ko eeshant sharma? nia khalifa ka kuch bhejo …
"Indian Soldier: Aur aaj kal desh mein kya chal raha hai?
Pak Soldier: Chutyappa",eendian soldier: aaur aj kal desh mein kya chal raha hai? pak soldier: chutyappa
@MhaAgyaani hit list me sabse oopar kiska naam hai,hit list me sabse oopar kiska nam hai
"Brilliant bhi bolte hai aur gaali bhi dete hai log 
INSAAF KAHAN HAI MILORD?https://twitter.com/schatrath/status/811657553054724096 …",brilliant bhi bolte hai aur gali bhi dete hai log eensaaaaf kaahaan haaee …
rohan sikka this one is ultimate .  .  sharma ji toh mortal combat karne lage .  .,rohan sikka this one is ultimate . . sharma ji toh mortal combat karne lage . .
bade log milkar ek kanya ke saath... Patriarchy. Damn.,bade log milkar ek kanya ke sath... patriarchy. damn.
@YearOfRat Dhanyawad sir :),dhanyawad sir
@Atheist_Krishna @HathwalaThakur ho sakta hai!,ho sakta hai!
"haha, twitter piya hua hai. Aaj friday hai","haha, twitter piya hua hai. aaaj friday hai"
Medicine kabhi sweet nahi hoti pr fir v hmare body ko thik karti hai. Like #noteban and #GST,nedicine kabhi sweet nahi hoti pr fir v hmare body ko thik karti hai. like #noteban and #gst
Suno @ManUtd LVG in Manchester United is like Arvind Kejriwal ruling Delhi.  Kuch samjhe?,suno lvg in nanchester oonited is like aarvind kejriwal ruling delhi. kuch samjhe?
@Being_Humor @WatDaDuck_ @KyaUkhaadLega ha ha ha ek haseen 9jawan ke liye aisi baat kar uski market value kam mat karo :),ha ha ha ek haseen 9jawan ke liye aisi bat kar uski market value kam mat karo
Rajiv Gandhi 'Rajiv Gandhi ki chaatate raho' yojnahttps://twitter.com/firstpost/status/656519916107927553 …,rajiv gandhi 'rajiv gandhi ki chatate raho' …
Salman vai aap sadhi krlo plzzz...,salman vai ap sadhi krlo plzzz...
@coolfunnytshirt L guard to abhi se pehan rakha hai. Waise maine Dale Steyn ko ek chakka to marna hi hai.,l guard to abhi se pehan rakha hai. waise maine dale steyn ko ek chakka to marna hi hai.
"ye kia waja hai k west aur asia mein 98% wo log hotay hain jin ka taluq ""secularism aur liberalism say hota ""hai jo bacho aurto ka rape kertay hain?","ye kia waja hai k west aur asia mein 98% wo log hotay hain jin ka taluq ""secularism aur liberalism say hota ""hai jo bacho aurto ka rape kertay hain?"
I love you. I fill you. I think you and marnasa pahla apsa 1bar milongga jaroor. I'm from Bangladesh.,ee love you. ee fill you. ee think you and marnasa pahla apsa 1bar milongga jaroor. ee'm from bangladesh.
wowwwwww omg aaj kyu nahi ............love u salman,wowwwwww omg aj kyu nahi ............love u salman
"Kal kya hoga kisko pata, abhi apne paiso ka le lo mazapic.twitter.com/cznbNh3SZD","kal kya hoga kisko pata, abhi apne paiso ka le lo"
@Dishasatra @premlata_rai jabardasti ke kitne dost banaye hai aaj tak?,jabardasti ke kitne dost banaye hai aj tak?
@Atheist_Krishna shaadi ho gayee uski.. Ab kya fayda,shadi ho gayee uski.. aab kya fayda
@Omeghaa_ Yayy yayyy yayy tikki khaaenge,yayy yayyy yayy tikki khaenge
Jo #indians abhi bhi calendar dekh k non-veg khaate hai ab unhe #GST kon samjhaaye,jo #indians abhi bhi calendar dekh k non-veg khate hai ab unhe #gst kon samjhaye
@waqasirshad1989 i don't think so .. Dhoni accha khel raha hai,i don't think so .. Dhoni accha khel raha hai
"@shivanimehra86 Shivani Mehra 86, mujhe lagta hai Maine tumhe pehle kahin dekha hai.","shivani nehra 86, mujhe lagta hai naine tumhe pehle kahin dekha hai."
"Asli diwali to iss baar China wale mana rahe honge.. Sasti light, creative diye aur mazedaar patakho ke saath.. Bwahahaa","Asli diwali to iss baar China wale mana rahe honge.. Sasti light, creative diye aur mazedaar patakho ke saath.. Bwahahaa"
@HudDangee yaha sab jayaz hai,yaha sab jayaz hai
"Catches drop karne waale South Africans, Jonty maaf nahin karegi.","Catches drop karne waale South Africans, Jonty maaf nahin karegi."
tu phir aagaya mere aur ladkiyon ke beech?,tu phir agaya mere aur ladkiyon ke beech?
"@poonamkhatri Mujhe hamesha se hi shak tha, aaj yakeen ho gaya @NehaT_","nujhe hamesha se hi shak tha, aj yakeen ho gaya"
agar izzat nahi rahi to ucchalo bhi mat yaar ( y ),agar izzat nahi rahi to ucchalo bhi mat yar ( y )
"Aur bhi gam hai duniya mein mohabbat ke siwa, daaru ke paise.","aaur bhi gam hai duniya mein mohabbat ke siwa, daru ke paise."
@khusshhagrawal can't wait yaar . I'm in office . Accha atleast give me some hint * Maine bhi diya tha :p,can't wait yaar . I'm in office . Accha atleast give me some hint * Maine bhi diya tha
cuz that's what women like to do,cuz that's what women like to do
Is se accha tha barish hi ho jatiðŸ˜µðŸ˜µðŸ˜³ðŸ˜³ðŸ˜¥ðŸ˜¥ðŸ˜¥ atleast match cancel ho jataðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‰ðŸ˜‰ðŸ˜‰ðŸ˜,Is se accha tha barish hi ho jatiðŸ˜µðŸ˜µðŸ˜³ðŸ˜³ðŸ˜¥ðŸ˜¥ðŸ˜¥ atleast match cancel ho jataðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‰ðŸ˜‰ðŸ˜‰ðŸ˜
#WhatMothersWant JOOTE GHAR KE BAAHAR NIKAALO,#WhatMothersWant JOOTE GHAR KE BAAHAR NIKAALO
.@TheRahulMahajan aankh laal ho rahi hai.. Conjunctivitis hoga,. ankh lal ho rahi hai.. conjunctivitis hoga
@sona2905 heading edited lag rahi hai. aur neeche ka news details bhi kuchh aur hai :),heading edited lag rahi hai. aur neeche ka news details bhi kuchh aur hai
@TweetErrant oh ye to ishaan awasthi kr papa hai,oh ye to ishan awasthi kr papa hai
@GhantaGuy @krazyfrog Warna paani chala jayega,warna pani chala jayega
@anubhasawhney Drill hai ki manta nahi.,drill hai ki manta nahi.
@Addi_Salman chalo accha hai bhai ,chalo accha hai bhai
@BhayanakPuppy Hahah pata nahi bhai.. use pankhe theek karne jana tha shayad :P,hahah pata nahi bhai.. use pankhe theek karne jana tha shayad
@zoomphatak apna waada yaad rakhna,apna wada yad rakhna
"WHAT!?!

Ye tweet padh kar tumhara fuse udd jayega https://twitter.com/atta6019/status/813308323978035200 …",whaat!?! ye tweet padh kar tumhara fuse udd jayega …
Salman ji sirf mera hai .....hai naa salman aur oss k lye main kuch b kar sakte ......,salman ji sirf mera hai .....hai na salman aur oss k lye main kuch b kar sakte ......
RT @SaadHere_ : Wow yar Pakistani khawateen to kaam ki nikleen ! Congratulations Pakistani Women .,rt : wow yar pakistani khawateen to kam ki nikleen ! congratulations pakistani women .
Chalo be bohot maze le liye.. Khana khao aur so jao.. Sunday enjoy kar be,chalo be bohot maze le liye.. khana khao aur so jao.. sunday enjoy kar be
@TangledDokhtar @bhak_sala ee na ho sake,ee na ho sake
For those who are asking why. 2 saal pehle ki baat hai. Bhabhi ne reply diya ki tum kaunsi duniya me rehte ho https://twitter.com/LOLendraSingh/status/444167684712693760 …,For those who are asking why. 2 saal pehle ki baat hai. Bhabhi ne reply diya ki tum kaunsi duniya me rehte ho …
@kaalia_bhatt Bas mere MBA ke profs ko ye baat samaj nahi aayee.. :D @KyaUkhaadLega @Being_Humor @HathwalaThakur @Ra_Bies,bas mere nbaa ke profs ko ye bat samaj nahi ayee..
Dhoni gloves nikaale tabhi miracle hota hai.,dhoni gloves nikale tabhi miracle hota hai.
"@someUSER i know thats what im saying lol tucker straight outkicked cundiff in camp ,  i'm glad he's gone .  didnt he miss one in the 4th qtr ?","i know thats what im saying lol tucker straight outkicked cundiff in camp , i'm glad he's gone . didnt he miss one in the 4th qtr ?"
"@Sand_In_Deed abhi abhi kabar aayi hai, woh hi chavvani ka role diya hoga, jaise pehle hamare actors ke saath ho chuka hai!","abhi abhi kabar ayi hai, woh hi chavvani ka role diya hoga, jaise pehle hamare actors ke sath ho chuka hai!"
Kay baat hai bhai jaan....,kay bat hai bhai jan....
@HathwalaThakur bhai lagta aaj hum dono trend honge @KyaUkhaadLega,bhai lagta aj hum dono trend honge
@MeetUunngLee bhai pakka aana,bhai pakka ana
Mote @thetanmay aaj tera din hai.. 10 May..,note aj tera din hai.. 10 nay..
bachpan mein master ji shararat mein guddu k baap rahe honge .  .  is umar tak bhi inki shaitaani dimaag bilkul active hai .  .,bachpan mein master ji shararat mein guddu k bap rahe honge . . is umar tak bhi inki shaitani dimag bilkul active hai . .
Diwali bonus aa gaya hai . Koi group chhodke jana mat . Fursat milte hi baant diya jayega .,diwali bonus a gaya hai . koi group chhodke jana mat . fursat milte hi bant diya jayega .
Swag Swag karte karte Smog Smog aa gaya. #DelhiSmog,swag swag karte karte smog smog a gaya. #delhismog
Zindagi me partner hona bhi Zaroori he yaar ...,zindagi me partner hona bhi zaroori he yar ...
"@subhashshobhda Bihar me BJP ko Laloo se jyada nuksaan Shatrughan Sinha ne pahuchaya hai.
 #BiharKaJaichandShatrughan",bihar me bjp ko laloo se jyada nuksan shatrughan sinha ne pahuchaya hai. #biharkajaichandshatrughan
@bhaiyyajispeaks haha.. Haath dho kar aana bhaiyya ji ,haha.. hath dho kar ana bhaiyya ji
mungerilal ke haseen sapne .  .  aapne to ekdum jeevit kardiya bhai .  .,mungerilal ke haseen sapne . . apne to ekdum jeevit kardiya bhai . .
class 2 me to 99% adhe class ko aate hai  .  .  .  tu sach me mature nahi hai,class 2 me to 99% adhe class ko aate hai . . . tu sach me mature nahi hai
@sonamakapoor accha to fir aaj trend me sonam kapoor ke alawa naya kya chal raha hai.,accha to fir aj trend me sonam kapoor ke alawa naya kya chal raha hai.
"Paise mile tab tak theek hai, 50% discount on market rate dene ko taiyaar hu main. Sirf 5 lakh","paise mile tab tak theek hai, 50% discount on market rate dene ko taiyar hu main. sirf 5 lakh"
"Aaj main upar, Aasman neeche' 
*Missionary*","Aaj main upar, Aasman neeche' *Missionary*"
"Sir @ArvindKejriwal 2017 aa gaya.. Isme koi Modi ji ki saazish nahi hai

Get well soon",sir 2017 a gaya.. eesme koi nodi ji ki sazish nahi hai get well soon
Ye tum US walon ka problem kya hai bhai?,ye tum oos walon ka problem kya hai bhai?
idiot advertisment shame on .  .,idiot advertisment shame on . .
aur wo dd1 pe raat ko aane wala new year musical show .  .  .,aur wo dd1 pe rat ko ane wala new year musical show . . .
"Pitch hai kisi aashiq ka dil, bahut buri tarah se toota hai. #INDvsAUS","pitch hai kisi ashiq ka dil, bahut buri tarah se toota hai. #eendvsaaoos"
BHARAT MATA KI JAI !!,bhaaraat naataa kee jaaee !!
"hii frnds yeh mera page hai  , aap sab is page ko dil se ek like kardo ,  jo v like karega main use add kar lungi .  .  . ","hi frnds yeh mera page hai , ap sab is page ko dil se ek like kardo , jo v like karega main use add kar lungi . . ."
@juventino1978 Ab wahan jaakar Gram Gram khaana khana.,aab wahan jakar gram gram khana khana.
mortal combat me power kaise chalatey they .,mortal combat me power kaise chalatey they .
aisi ummeed nhi thi aapse bhaijaan. . DIL tod diya sbka :-(,aisi ummeed nhi thi apse bhaijan. . deel tod diya sbka :-(
@MeetUunngLee Yeh hi haalat hai but abhi hotness hai toh hai.,yeh hi halat hai but abhi hotness hai toh hai.
#SupremeCourt ko qubool hai qubool hai qubool hai right to privacy #RightToPrivacy,#SupremeCourt ko qubool hai qubool hai qubool hai right to privacy #RightToPrivacy
"RT @govindec082 : Congress reacts to #RailBudget2015 , says , "" UPA policies repackaged "" NAMO : - "" Tumhe sudharne hi to aaye hain ""","RT : Congress reacts to #RailBudget2015 , says , "" UPA policies repackaged "" NAMO : - "" Tumhe sudharne hi to aaye hain """
.@ArvindKejriwal badhai ho sir aap papa ban gaye.,. badhai ho sir ap papa ban gaye.
@hitlerbai Gabbar ko last me phansi ho gayee tha ,gabbar ko last me phansi ho gayee tha
Batting acchi nahi par bowling faaltu hai.,batting acchi nahi par bowling faltu hai.
Salman bhai ji ko Namastey Salaam.ye Eid apki superhit ho.jai bajrangbali.,salman bhai ji ko namastey salam.ye eid apki superhit ho.jai bajrangbali.
@Alllahdin ye main kahaaaan aagaye  hum??,ye main kahaan agaye hum??
@Jal_Kukdi Congrats !! SHaadi ki taiyaari shuru kar do,congrats !! shadi ki taiyari shuru kar do
@apar_saraswat jab tak talent nahi aata :(,jab tak talent nahi ata
atibir singh Thanks for the follow !,atibir singh Thanks for the follow !
Haan Modi ji. 2 log aaye hain. Aapke tailor ka pata puch rahe thepic.twitter.com/LDYnYdPpIP,han nodi ji. 2 log aye hain. aaapke tailor ka pata puch rahe
RT @cricBC : Check out this piece on Captain Iceman . Dhoni the superhero . By @chetannarula https://t.co/OP3AcfNhLk,RT : Check out this piece on Captain Iceman . Dhoni the superhero . By
if you are this active on fb chances are you won't be getting to iit in the first place  .  keep dreaming  .,if you are this active on fb chances are you won't be getting to iit in the first place . keep dreaming .
@slimswamy aur bhi bahut likha tha sir. Padhiyega.,aur bhi bahut likha tha sir. padhiyega.
@oshowed sahi bol raha hai :/,sahi bol raha hai :/
@engg89 cheers. Jai Maharashtra! _/\_,cheers. Jai Maharashtra! _/\_
Raksha Shinde SALMAN insha Allah zaror help karenge...,raksha shinde saalnaan insha aallah zaror help karenge...
"RT @MTR_Dishcovery : Get crowned as the kitchen superhero , this #WomensDay . Share your awesome #cooking tip now ! #MyDishcovery https://t.co","RT : Get crowned as the kitchen superhero , this #WomensDay . Share your awesome #cooking tip now ! #MyDishcovery"
Chachi bhi delete krengi ab previous tweets . ache fast ballers se jyada india ko akalmand politicians chahie modi https://t.co/YhYpymRcMN,Chachi bhi delete krengi ab previous tweets . ache fast ballers se jyada india ko akalmand politicians chahie modi
haha abhi online hi tha. Aaj to trailer hai,haha abhi online hi tha. Aaj to trailer hai
@twinitisha ok. Hamari dosti ke beech me biwi ko mat lao,ok. hamari dosti ke beech me biwi ko mat lao
